Finchtyp,mainfuel,watersys,tank,Finmhboi,count,countsamp,conf,EnergyType
Central heating (wet with rads),coal,with central heating,Tank with Immersion Heater,Standard,26299,8,3287.375,R
Central heating (wet with rads),coal,with central heating,Tank with Immersion Heater,Back boiler,36318,27,1345.111111,R
Central heating (wet with rads),coal,with central heating,Tank without Immersion Heater,Standard,3400,1,3400,R
Central heating (wet with rads),coal,with central heating,Tank without Immersion Heater,Back boiler,14741,8,1842.625,R
Central heating (wet with rads),coal,with central heating,Tank without Immersion Heater,No boiler,876,1,876,R
Central heating (wet with rads),electricity,with central heating,No Tank,Combined primary storage unit,1124,1,1124,N
Central heating (wet with rads),electricity,with central heating,No Tank,No boiler,575,1,575,N
Central heating (wet with rads),electricity,with central heating,Tank with Immersion Heater,Standard,8183,7,1169,N
Central heating (wet with rads),electricity,with central heating,Tank with Immersion Heater,Condensing,2902,2,1451,N
Central heating (wet with rads),electricity,with central heating,Tank with Immersion Heater,Combined primary storage unit,361,1,361,N
Central heating (wet with rads),electricity,with central heating,Tank with Immersion Heater,No boiler,16791,12,1399.25,N
Central heating (wet with rads),electricity,with central heating,Tank without Immersion Heater,Standard,3984,2,1992,N
Central heating (wet with rads),electricity,with central heating,Tank without Immersion Heater,Condensing,5976,2,2988,N
Central heating (wet with rads),electricity,with central heating,Tank without Immersion Heater,Combined primary storage unit,5573,4,1393.25,N
Central heating (wet with rads),electricity,with central heating,Tank without Immersion Heater,No boiler,4448,7,635.4285714,N
Central heating (wet with rads),electricity,electric immersion heater,Tank with Immersion Heater,Standard,1190,2,595,N
Central heating (wet with rads),electricity,electric immersion heater,Tank with Immersion Heater,No boiler,13868,11,1260.727273,N
Central heating (wet with rads),electricity,instantaneous,Tank without Immersion Heater,No boiler,1340,1,1340,N
Central heating (wet with rads),gas (mains),with central heating,No Tank,Standard,27019,15,1801.266667,A0
Central heating (wet with rads),gas (mains),with central heating,No Tank,Back boiler,1242,1,1242,A0
Central heating (wet with rads),gas (mains),with central heating,No Tank,Combination,3169651,1642,1930.359927,A1
Central heating (wet with rads),gas (mains),with central heating,No Tank,Condensing,10611,11,964.6363636,A0
Central heating (wet with rads),gas (mains),with central heating,No Tank,Condensing combi,7936435,4724,1680.024344,A2
Central heating (wet with rads),gas (mains),with central heating,No Tank,Combined primary storage unit,30966,14,2211.857143,A0
Central heating (wet with rads),gas (mains),with central heating,No Tank,No boiler,11496,5,2299.2,ZZ
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Standard,3210354,1431,2243.433962,B1
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Back boiler,492910,273,1805.531136,B3
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Combination,24575,15,1638.333333,B1
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Condensing,2003854,1052,1904.804183,B2
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Condensing combi,77808,45,1729.066667,B2
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,Combined primary storage unit,4188,1,4188,B0
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Standard,1119591,519,2157.208092,C1
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Back boiler,202941,142,1429.161972,C3
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Combination,20231,10,2023.1,C1
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Condensing,758170,386,1964.170984,C2
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Condensing combi,28647,15,1909.8,C2
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,Combined primary storage unit,4896,2,2448,C0
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,No boiler,4710,3,1570,C0
Central heating (wet with rads),gas (mains),dedicated boiler,No Tank,Standard,6870,2,3435,Z
Central heating (wet with rads),gas (mains),dedicated boiler,Tank with Immersion Heater,Standard,2537,1,2537,Z
Central heating (wet with rads),gas (mains),dedicated boiler,Tank with Immersion Heater,Back boiler,2477,2,1238.5,Z
Central heating (wet with rads),gas (mains),dedicated boiler,Tank without Immersion Heater,Back boiler,1927,2,963.5,Z
Central heating (wet with rads),gas (mains),dedicated boiler,Tank without Immersion Heater,Combination,2552,1,2552,Z
Central heating (wet with rads),gas (mains),electric immersion heater,No Tank,Condensing combi,6441,3,2147,H
Central heating (wet with rads),gas (mains),electric immersion heater,Tank with Immersion Heater,Standard,98084,49,2001.714286,H
Central heating (wet with rads),gas (mains),electric immersion heater,Tank with Immersion Heater,Back boiler,15604,7,2229.142857,H
Central heating (wet with rads),gas (mains),electric immersion heater,Tank with Immersion Heater,Condensing,67541,35,1929.742857,H
Central heating (wet with rads),gas (mains),electric immersion heater,Tank with Immersion Heater,Condensing combi,4804,2,2402,H
Central heating (wet with rads),gas (mains),instantaneous,No Tank,Standard,19573,8,2446.625,T
Central heating (wet with rads),gas (mains),instantaneous,No Tank,Back boiler,10493,3,3497.666667,T
Central heating (wet with rads),gas (mains),instantaneous,No Tank,Combination,12079,5,2415.8,T
Central heating (wet with rads),gas (mains),instantaneous,No Tank,Condensing,4428,3,1476,T
Central heating (wet with rads),gas (mains),instantaneous,No Tank,Condensing combi,12528,7,1789.714286,T
Central heating (wet with rads),gas (mains),instantaneous,No Tank,No boiler,1158,1,1158,T
Central heating (wet with rads),gas (mains),instantaneous,Tank without Immersion Heater,Standard,7822,3,2607.333333,T
Central heating (wet with rads),gas (other),with central heating,No Tank,Combination,20430,10,2043,L
Central heating (wet with rads),gas (other),with central heating,No Tank,Condensing combi,46904,16,2931.5,L
Central heating (wet with rads),gas (other),with central heating,Tank with Immersion Heater,Standard,12653,5,2530.6,S
Central heating (wet with rads),gas (other),with central heating,Tank with Immersion Heater,Back boiler,15393,6,2565.5,S
Central heating (wet with rads),gas (other),with central heating,Tank with Immersion Heater,Condensing,33417,13,2570.538462,S
Central heating (wet with rads),gas (other),with central heating,Tank without Immersion Heater,Back boiler,1101,1,1101,U
Central heating (wet with rads),gas (other),with central heating,Tank without Immersion Heater,Condensing,15380,6,2563.333333,U
Central heating (wet with rads),gas (other),electric immersion heater,Tank with Immersion Heater,Standard,3481,1,3481,AG
Central heating (wet with rads),heating oil ,with central heating,No Tank,Combination,106460,47,2265.106383,I
Central heating (wet with rads),heating oil ,with central heating,No Tank,Condensing combi,53768,26,2068,I
Central heating (wet with rads),heating oil ,with central heating,No Tank,No boiler,1032,1,1032,I
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,Standard,385364,154,2502.363636,E
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,Back boiler,8995,3,2998.333333,E
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,Condensing,121720,48,2535.833333,E
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,Condensing combi,4039,2,2019.5,E
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,No boiler,1815,1,1815,E
Central heating (wet with rads),heating oil ,with central heating,Tank without Immersion Heater,Standard,93871,38,2470.289474,J
Central heating (wet with rads),heating oil ,with central heating,Tank without Immersion Heater,Combination,2518,1,2518,J
Central heating (wet with rads),heating oil ,with central heating,Tank without Immersion Heater,Condensing,40467,16,2529.1875,J
Central heating (wet with rads),heating oil ,dedicated boiler,Tank with Immersion Heater,Standard,3512,1,3512,AA
Central heating (wet with rads),heating oil ,dedicated boiler,Tank with Immersion Heater,Condensing,3130,1,3130,AA
Central heating (wet with rads),heating oil ,electric immersion heater,Tank with Immersion Heater,Standard,7350,4,1837.5,AA
Central heating (wet with rads),heating oil ,electric immersion heater,Tank with Immersion Heater,Condensing,1967,1,1967,AA
Central heating (wet with rads),heating oil ,instantaneous,No Tank,Standard,2256,1,2256,AA
Central heating (wet with rads),wood,with central heating,Tank with Immersion Heater,Standard,719,1,719,W
Central heating (wet with rads),wood,with central heating,Tank with Immersion Heater,Back boiler,11600,6,1933.333333,W
Central heating (wet with rads),wood,with central heating,Tank with Immersion Heater,No boiler,1994,1,1994,W
Central heating (wet with rads),wood,with central heating,Tank without Immersion Heater,Standard,9869,2,4934.5,X
Central heating (wet with rads),wood,with central heating,Tank without Immersion Heater,Back boiler,1369,1,1369,X
Central heating (wet with rads),wood,electric immersion heater,Tank with Immersion Heater,Standard,1846,1,1846,AI
Storage heaters,electricity,dedicated boiler,No Tank,No boiler,14027,8,1753.375,D
Storage heaters,electricity,dedicated boiler,Tank with Immersion Heater,No boiler,8387,3,2795.666667,D
Storage heaters,electricity,dedicated boiler,Tank without Immersion Heater,No boiler,1526,1,1526,D
Storage heaters,electricity,electric immersion heater,No Tank,No boiler,4692,4,1173,D
Storage heaters,electricity,electric immersion heater,Tank with Immersion Heater,No boiler,1260385,763,1651.880734,D
Storage heaters,electricity,instantaneous,No Tank,No boiler,43261,23,1880.913043,D
Storage heaters,electricity,instantaneous,Tank without Immersion Heater,No boiler,7358,4,1839.5,D
Warm air,electricity,with central heating,No Tank,Combined primary storage unit,678,1,678,M
Warm air,electricity,with central heating,Tank with Immersion Heater,Standard,384,1,384,M
Warm air,electricity,electric immersion heater,Tank with Immersion Heater,Standard,2110,2,1055,M
Warm air,electricity,electric immersion heater,Tank with Immersion Heater,No boiler,5563,5,1112.6,M
Warm air,electricity,electric immersion heater,Tank without Immersion Heater,No boiler,2142,1,2142,M
Warm air,gas (mains),with central heating,Tank with Immersion Heater,Standard,35640,15,2376,M
Warm air,gas (mains),with central heating,Tank without Immersion Heater,Standard,16109,8,2013.625,M
