EnergyType,EnergyType_orig,Finchtyp,mainfuel,watersys,tank,count,countsamp,conf,Valid
A,A,Central heating (wet with rads),gas (mains),with central heating,No Tank,11187420,6412,1744.762944,y
B,B,Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,5813689,2817,2063.787362,y
C,C,Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,2139186,1077,1986.245125,y
D,D,Storage heaters,electricity,electric immersion heater,Tank with Immersion Heater,1260385,763,1651.880734,y
E,E,Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,521933,208,2509.293269,y
F,F,Room heaters,electricity,electric immersion heater,Tank with Immersion Heater,245856,105,2341.485714,y
G,G,Communal/CHP,community heating from boilers,with central heating,No Tank,236252,173,1365.618497,y
H,H,Central heating (wet with rads),gas (mains),electric immersion heater,Tank with Immersion Heater,186033,93,2000.354839,y
I,I,Central heating (wet with rads),heating oil ,with central heating,No Tank,161260,74,2179.189189,y
J,J,Central heating (wet with rads),heating oil ,with central heating,Tank without Immersion Heater,136856,55,2488.290909,y
No Answer,K,No Answer,electricity,electric immersion heater,Tank with Immersion Heater,103368,43,2403.906977,n
L,L,Room heaters,gas (mains),instantaneous,No Tank,73668,27,2728.444444,y
M,M,Electric ceiling/underfloor,electricity,electric immersion heater,Tank with Immersion Heater,71769,32,2242.78125,y
N,N,Central heating (wet with rads),gas (other),with central heating,No Tank,67334,26,2589.769231,y
O,O,Communal/CHP,community heating from boilers,with central heating,Tank without Immersion Heater,63818,68,938.5,y
P,P,Communal/CHP,community heating from boilers,with central heating,Tank with Immersion Heater,62976,49,1285.22449,y
Q,Q,Room heaters,gas (mains),electric immersion heater,Tank with Immersion Heater,62835,25,2513.4,y
R,R,Central heating (wet with rads),coal,with central heating,Tank with Immersion Heater,62617,35,1789.057143,y
S,S,Central heating (wet with rads),gas (other),with central heating,Tank with Immersion Heater,61463,24,2560.958333,y
T,T,Central heating (wet with rads),gas (mains),instantaneous,No Tank,60259,27,2231.814815,y
No Answer,U,No Answer,electricity,electric immersion heater,No Tank,49288,14,3520.571429,n
V,V,Storage heaters,electricity,instantaneous,No Tank,43261,23,1880.913043,y
W,W,Room heaters,electricity,instantaneous,No Tank,39450,14,2817.857143,y
X,X,Communal/CHP,community heating from boilers,electric immersion heater,Tank with Immersion Heater,35747,38,940.7105263,y
Y,Y,Warm air,gas (mains),with central heating,Tank with Immersion Heater,35640,15,2376,y
Z,Z,Central heating (wet with rads),electricity,with central heating,Tank with Immersion Heater,28237,22,1283.5,y
No Answer,AA,No Answer,electricity,instantaneous,No Tank,27163,10,2716.3,n
AB,AB,Warm air,gas (mains),instantaneous,No Tank,23044,11,2094.909091,y
AC,AC,Warm air,gas (mains),electric immersion heater,Tank with Immersion Heater,22062,20,1103.1,y
AD,AD,Central heating (wet with rads),electricity,with central heating,Tank without Immersion Heater,19981,15,1332.066667,y
AE,AE,Central heating (wet with rads),coal,with central heating,Tank without Immersion Heater,19017,10,1901.7,y
AF,AF,Warm air,gas (mains),with central heating,Tank without Immersion Heater,18506,9,2056.222222,y
AG,AG,Room heaters,coal,dedicated boiler,Tank with Immersion Heater,17110,7,2444.285714,y
AH,AH,Central heating (wet with rads),gas (other),with central heating,Tank without Immersion Heater,16481,7,2354.428571,y
AI,AI,Communal/CHP,community heating from CHP/waste heat,with central heating,No Tank,15892,11,1444.727273,y
AJ,AJ,Central heating (wet with rads),electricity,electric immersion heater,Tank with Immersion Heater,15058,13,1158.307692,y
AK,AK,Electric ceiling/underfloor,electricity,instantaneous,No Tank,14797,3,4932.333333,y
AL,AL,Central heating (wet with rads),wood,with central heating,Tank with Immersion Heater,14313,8,1789.125,y
AM,AM,Storage heaters,electricity,dedicated boiler,No Tank,14027,8,1753.375,y
AN,AN,Room heaters,electricity,dedicated boiler,No Tank,12054,4,3013.5,y
AO,AO,Central heating (wet with rads),wood,with central heating,Tank without Immersion Heater,11238,3,3746,y
No Answer,AP,No Answer,electricity,dedicated boiler,Tank with Immersion Heater,10018,6,1669.666667,n
AQ,AQ,Central heating (wet with rads),heating oil ,electric immersion heater,Tank with Immersion Heater,9317,5,1863.4,y
AR,AR,Room heaters,coal,electric immersion heater,Tank with Immersion Heater,8942,4,2235.5,y
AS,AS,Storage heaters,electricity,dedicated boiler,Tank with Immersion Heater,8387,3,2795.666667,y
AT,AT,Central heating (wet with rads),gas (mains),instantaneous,Tank without Immersion Heater,7822,3,2607.333333,y
AU,AU,Warm air,electricity,electric immersion heater,Tank with Immersion Heater,7673,7,1096.142857,y
AV,AV,Storage heaters,electricity,instantaneous,Tank without Immersion Heater,7358,4,1839.5,y
Error,AW,Room heaters,coal,electric immersion heater,No Tank,7188,2,3594,n
AX,AX,Central heating (wet with rads),gas (mains),dedicated boiler,No Tank,6870,2,3435,y
AY,AY,Central heating (wet with rads),heating oil ,dedicated boiler,Tank with Immersion Heater,6642,2,3321,y
AZ,AZ,Communal/CHP,community heating from boilers,instantaneous,No Tank,6612,4,1653,y
Error,BA,Central heating (wet with rads),gas (mains),electric immersion heater,No Tank,6441,3,2147,n
BB,BB,Communal/CHP,community heating from CHP/waste heat,with central heating,Tank without Immersion Heater,6196,5,1239.2,y
No Answer,BC,No Answer,coal,electric immersion heater,Tank with Immersion Heater,6035,3,2011.666667,n
Error,BD,Room heaters,gas (other),electric immersion heater,No Tank,5863,1,5863,n
BE,BE,Central heating (wet with rads),gas (mains),dedicated boiler,Tank with Immersion Heater,5014,3,1671.333333,y
Error,BF,Storage heaters,electricity,electric immersion heater,No Tank,4692,4,1173,n
BG,BG,Central heating (wet with rads),gas (mains),dedicated boiler,Tank without Immersion Heater,4479,3,1493,y
No Answer,BH,No Answer,gas (mains),electric immersion heater,Tank with Immersion Heater,4402,2,2201,n
No Answer,BI,No Answer,gas (mains),instantaneous,No Tank,4318,1,4318,n
No Answer,BJ,No Answer,coal,dedicated boiler,Tank with Immersion Heater,4038,2,2019,n
BK,BK,Communal/CHP,community heating from CHP/waste heat,with central heating,Tank with Immersion Heater,3855,2,1927.5,y
BL,BL,Central heating (wet with rads),gas (other),electric immersion heater,Tank with Immersion Heater,3481,1,3481,y
