"","Finchtyp","mainfuel","watersys","tank","count","countsamp","conf","type"
"3085","Central heating (wet with rads)","coal","electric immersion heater","Tank with Immersion Heater",11216,6,1869.33333333333,"No match"
"2","Central heating (wet with rads)","coal","with central heating","Tank with Immersion Heater",70596,50,1411.92,"R"
"4715","Central heating (wet with rads)","coal","with central heating","Tank without Immersion Heater",15622,10,1562.2,"AE"
"8965","Central heating (wet with rads)","community heating from boilers","electric immersion heater","Tank with Immersion Heater",1203,1,1203,"No match"
"340","Central heating (wet with rads)","electricity","electric immersion heater","Tank with Immersion Heater",21842,18,1213.44444444444,"AJ"
"10956","Central heating (wet with rads)","electricity","electric immersion heater","Tank without Immersion Heater",3243,2,1621.5,"No match"
"3210","Central heating (wet with rads)","electricity","instantaneous","No Tank",2141,1,2141,"No match"
"1005","Central heating (wet with rads)","electricity","with central heating","No Tank",9559,5,1911.8,"BW"
"412","Central heating (wet with rads)","electricity","with central heating","Tank with Immersion Heater",20169,14,1440.64285714286,"Z"
"42","Central heating (wet with rads)","electricity","with central heating","Tank without Immersion Heater",16297,13,1253.61538461538,"AD"
"268","Central heating (wet with rads)","gas (mains)","dedicated boiler","No Tank",24926,15,1661.73333333333,"AX"
"1398","Central heating (wet with rads)","gas (mains)","dedicated boiler","Tank with Immersion Heater",16386,10,1638.6,"BE"
"1382","Central heating (wet with rads)","gas (mains)","dedicated boiler","Tank without Immersion Heater",6863,5,1372.6,"BG"
"359","Central heating (wet with rads)","gas (mains)","electric immersion heater","Tank with Immersion Heater",160562,101,1589.72277227723,"H"
"981","Central heating (wet with rads)","gas (mains)","instantaneous","No Tank",74500,42,1773.80952380952,"T"
"2647","Central heating (wet with rads)","gas (mains)","instantaneous","Tank without Immersion Heater",9691,5,1938.2,"AT"
"1","Central heating (wet with rads)","gas (mains)","with central heating","No Tank",10226548,6848,1493.36273364486,"A"
"8","Central heating (wet with rads)","gas (mains)","with central heating","Tank with Immersion Heater",6142809,3823,1606.80329584096,"B"
"110","Central heating (wet with rads)","gas (mains)","with central heating","Tank without Immersion Heater",2003463,1296,1545.88194444444,"C"
"2893","Central heating (wet with rads)","gas (other)","electric immersion heater","Tank with Immersion Heater",1648,1,1648,"BL"
"12","Central heating (wet with rads)","gas (other)","with central heating","No Tank",95515,55,1736.63636363636,"N"
"59","Central heating (wet with rads)","gas (other)","with central heating","Tank with Immersion Heater",55016,33,1667.15151515152,"S"
"760","Central heating (wet with rads)","gas (other)","with central heating","Tank without Immersion Heater",10083,6,1680.5,"AH"
"302","Central heating (wet with rads)","heating oil ","dedicated boiler","Tank with Immersion Heater",4332,3,1444,"AY"
"2973","Central heating (wet with rads)","heating oil ","electric immersion heater","Tank with Immersion Heater",23215,13,1785.76923076923,"AQ"
"4376","Central heating (wet with rads)","heating oil ","instantaneous","Tank without Immersion Heater",1468,1,1468,"No match"
"34","Central heating (wet with rads)","heating oil ","with central heating","No Tank",163409,102,1602.04901960784,"I"
"3","Central heating (wet with rads)","heating oil ","with central heating","Tank with Immersion Heater",598621,345,1735.13333333333,"E"
"17","Central heating (wet with rads)","heating oil ","with central heating","Tank without Immersion Heater",93862,54,1738.18518518519,"J"
"8612","Central heating (wet with rads)","wood","electric immersion heater","Tank with Immersion Heater",4397,2,2198.5,"BV"
"13898","Central heating (wet with rads)","wood","instantaneous","No Tank",2571,1,2571,"No match"
"3575","Central heating (wet with rads)","wood","with central heating","No Tank",1682,1,1682,"No match"
"306","Central heating (wet with rads)","wood","with central heating","Tank with Immersion Heater",42391,22,1926.86363636364,"AL"
"5166","Central heating (wet with rads)","wood","with central heating","Tank without Immersion Heater",4476,3,1492,"AO"
"9008","Communal/CHP","community heating from boilers","electric immersion heater","Tank with Immersion Heater",32083,35,916.657142857143,"X"
"8610","Communal/CHP","community heating from boilers","instantaneous","No Tank",15958,17,938.705882352941,"AZ"
"9765","Communal/CHP","community heating from boilers","instantaneous","Tank without Immersion Heater",4657,6,776.166666666667,"CD"
"8850","Communal/CHP","community heating from boilers","with central heating","No Tank",111794,102,1096.01960784314,"G"
"9391","Communal/CHP","community heating from boilers","with central heating","Tank with Immersion Heater",5930,7,847.142857142857,"P"
