"","archcode","count","countsamp","conf"
"1","A-A-A-A-A",238329,91,2619
"2","A-A-A-B-A",178424,83,2149.68674698795
"3","A-A-A-B-B",2450,1,2450
"4","A-A-A-C-A",63261,32,1976.90625
"5","A-A-A-D-A",23500,16,1468.75
"6","A-A-A-E-A",36546,14,2610.42857142857
"7","A-A-A-F-A",7695,2,3847.5
"8","A-A-A-G-A",2347,1,2347
"9","A-A-A-H-A",10389,4,2597.25
"10","A-A-A-K-A",15821,5,3164.2
"11","A-A-A-L-A",17696,8,2212
"12","A-A-B-A-A",128302,52,2467.34615384615
"13","A-A-B-A-B",1349,1,1349
"14","A-A-B-B-A",62605,26,2407.88461538462
"15","A-A-B-C-A",36874,13,2836.46153846154
"16","A-A-B-D-A",10031,6,1671.83333333333
"17","A-A-B-E-A",39660,20,1983
"18","A-A-B-F-A",15208,7,2172.57142857143
"19","A-A-B-H-A",888,1,888
"20","A-A-B-K-A",811,1,811
"21","A-A-B-L-A",11011,5,2202.2
"22","A-A-C-A-A",3662,1,3662
"23","A-A-C-B-A",1275,1,1275
"24","A-A-C-E-A",6230,2,3115
"25","A-A-D-A-A",7826,3,2608.66666666667
"26","A-A-D-A-B",1353,1,1353
"27","A-A-D-B-A",15322,1,15322
"28","A-A-D-E-A",9067,3,3022.33333333333
"29","A-A-D-F-A",3938,1,3938
"30","A-B-A-A-A",34577,11,3143.36363636364
"31","A-B-A-A-B",4260,1,4260
"32","A-B-A-B-A",29301,7,4185.85714285714
"33","A-B-A-B-B",2018,1,2018
"34","A-B-A-C-A",5191,1,5191
"35","A-B-A-E-A",2298,1,2298
"36","A-B-A-F-A",7747,2,3873.5
"37","A-B-A-H-A",2921,1,2921
"38","A-B-A-K-B",2811,1,2811
"39","A-B-B-A-A",67142,23,2919.21739130435
"40","A-B-B-B-A",37716,12,3143
"41","A-B-B-B-B",7386,3,2462
"42","A-B-B-C-A",13532,5,2706.4
"43","A-B-B-E-A",3792,1,3792
"44","A-B-B-H-A",2066,1,2066
"45","A-B-B-K-A",5698,1,5698
"46","A-B-C-B-A",1361,1,1361
"47","A-B-C-C-A",4256,1,4256
"48","A-B-D-A-A",3475,2,1737.5
"49","A-B-D-B-A",3174,1,3174
"50","A-B-D-F-A",1710,1,1710
"51","A-C-A-K-B",649,1,649
"52","A-C-B-A-A",2121,1,2121
"53","AD-A-A-A-A",630638,340,1854.81764705882
"54","AD-A-A-B-A",206448,102,2024
"55","AD-A-A-C-A",103558,56,1849.25
"56","AD-A-A-D-A",14869,6,2478.16666666667
"57","AD-A-A-E-A",19537,10,1953.7
"58","AD-A-A-F-A",26128,8,3266
"59","AD-A-A-H-A",10395,4,2598.75
"60","AD-A-A-L-A",7001,5,1400.2
"61","AD-A-A-W-A",4279,2,2139.5
"62","AD-A-B-A-A",236400,119,1986.55462184874
"63","AD-A-B-A-B",1043,1,1043
"64","AD-A-B-B-A",179389,68,2638.07352941176
"65","AD-A-B-C-A",61229,24,2551.20833333333
"66","AD-A-B-D-A",7185,4,1796.25
"67","AD-A-B-E-A",9699,5,1939.8
"68","AD-A-B-F-A",6368,4,1592
"69","AD-A-B-K-A",3070,1,3070
"70","AD-A-C-A-A",2674,2,1337
"71","AD-A-C-D-A",2187,1,2187
"72","AD-A-D-A-A",16534,8,2066.75
"73","AD-A-D-B-A",1756,1,1756
"74","AD-A-D-B-B",1203,1,1203
"75","AD-B-A-A-A",53382,18,2965.66666666667
"76","AD-B-A-B-A",9377,5,1875.4
"77","AD-B-A-C-A",2975,1,2975
"78","AD-B-A-C-B",3321,1,3321
"79","AD-B-A-H-A",3004,1,3004
"80","AD-B-B-A-A",42246,12,3520.5
"81","AD-B-B-B-A",31166,7,4452.28571428571
"82","AD-B-B-C-A",4962,2,2481
"83","AD-B-B-H-A",2004,1,2004
"84","AD-B-D-A-A",3208,1,3208
"85","AD-C-A-A-A",7368,3,2456
"86","AD-C-C-A-B",3351,1,3351
"87","AE-A-A-A-A",741968,468,1585.40170940171
"88","AE-A-A-A-B",3669,2,1834.5
"89","AE-A-A-B-A",375820,231,1626.92640692641
"90","AE-A-A-C-A",138183,75,1842.44
"91","AE-A-A-D-A",19392,15,1292.8
"92","AE-A-A-E-A",31498,20,1574.9
"93","AE-A-A-F-A",6285,5,1257
"94","AE-A-A-H-A",19189,7,2741.28571428571
"95","AE-A-A-K-A",2465,2,1232.5
"96","AE-A-A-L-A",30023,16,1876.4375
"97","AE-A-B-A-A",39660,22,1802.72727272727
"98","AE-A-B-B-A",19383,9,2153.66666666667
"99","AE-A-B-C-A",7317,2,3658.5
"100","AE-A-B-D-A",3048,1,3048
"101","AE-A-B-E-A",1056,1,1056
"102","AE-A-B-W-A",1840,1,1840
"103","AE-A-C-A-A",71251,70,1017.87142857143
"104","AE-A-C-B-A",13863,18,770.166666666667
"105","AE-A-C-C-A",6333,7,904.714285714286
"106","AE-A-C-D-A",818,1,818
"107","AE-A-C-E-A",3542,2,1771
