"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"1","Building an economy that works for everyone – so that there are places in every part of the UK for people to work & for businesses to invest, innovate & grow.",17378,168733,1647,2424,"https://t.co/XBBji9JpFg","Dept for BEIS",2009-06-06 20:17:28,FALSE,TRUE,"beisgovuk","UK","en","45205091",3292,FALSE,"http://pbs.twimg.com/profile_images/890208208735932416/8DnUaBDS_normal.jpg"
"2","Account of the former Dept of Energy & Climate Change. Please follow the Department for Business, Energy & Industrial Strategy @beisgovuk",8211,90465,15,4935,"https://t.co/Yookn0QSln","DECC",2009-05-19 08:07:49,FALSE,TRUE,"DECCgovuk","London, UK","en","41077970",2338,FALSE,"http://pbs.twimg.com/profile_images/754203295116296192/wdiMhlX3_normal.jpg"
"3","Department for Communities and Local Government. We cover housing, planning, devolution & local gov, as well as community issues. Visit: https://t.co/ab1fWPVSPi",16129,100348,529,27044,"https://t.co/7ytEH3wDsd","DCLG",2008-07-07 10:00:06,FALSE,TRUE,"CommunitiesUK","London","en","15340496",1943,FALSE,"http://pbs.twimg.com/profile_images/816970050485841920/ucQ9v4yO_normal.jpg"
"4","The official Twitter channel of HM Treasury, updated by the Treasury communications team.",6792,357906,19,6339,"https://t.co/l0ZU7uMN9e","HM Treasury",2009-01-12 16:04:17,FALSE,TRUE,"hmtreasury","Westminster, London","en","18904582",2756,FALSE,"http://pbs.twimg.com/profile_images/816221648152104960/kZimEb8u_normal.jpg"
"5","The Federation of Master Builders is the largest trade association in the UK construction industry. We are a source of knowledge, advice & support for builders",7470,18833,631,4671,"https://t.co/l9F1ktyXE2","FMB: Master Builders",2010-10-13 10:15:55,FALSE,FALSE,"fmbuilders","London, United Kingdom   ","en","202117161",302,FALSE,"http://pbs.twimg.com/profile_images/751395567683641344/n3I8zuqu_normal.jpg"
"6","The NFB is one of the UK’s longest established trade federations for small to medium-sized builders, contractors and house builders across England and Wales.",2928,7719,1368,996,"http://t.co/7hX9FQDaBV","Nat Fed Builders",2010-11-01 14:44:39,FALSE,FALSE,"nfbuilders","","en","210832144",111,FALSE,"http://pbs.twimg.com/profile_images/1184797343/nfb_normal.jpg"
"7","We are the UK Green Building Council - join our campaign for a sustainable built environment",11302,35438,761,3229,"http://t.co/gh4ehvZ8t5","UKGreenBldgCouncil",2009-12-10 17:21:03,FALSE,FALSE,"UKGBC","London, UK","en","95943830",886,FALSE,"http://pbs.twimg.com/profile_images/799582801586749440/bZpvB6GX_normal.jpg"
"8","The official twitter of The Chartered Institute of Building (CIOB)",7339,28919,622,1916,"http://t.co/4VwysOq3Yy","CIOB",2009-08-17 13:06:45,FALSE,TRUE,"theCIOB","Global HQ: Bracknell, UK","en","66349240",417,FALSE,"http://pbs.twimg.com/profile_images/3694620566/d992408dc721ee9ed2e3781175d7f411_normal.jpeg"
"9","not for profit movement driving change in construction - Excellence through Collaboration",3780,17360,229,1081,"http://t.co/Xq79ermoHQ","ConstrctngExcellence",2008-08-29 05:49:59,FALSE,FALSE,"constructingexc","London","en","16038443",282,FALSE,"http://pbs.twimg.com/profile_images/59089736/windowlogo_normal.JPG"
"10","The Sector Skills Council and Industry Training Board for the construction industry, delivering a safe, professional and fully qualified workforce.",5120,36901,2099,7345,"http://t.co/8nXcCZgMSn","CITB",2009-05-13 20:21:20,FALSE,FALSE,"CITB_UK","UK","en","39824724",483,FALSE,"http://pbs.twimg.com/profile_images/578961492973862914/im0JUQxS_normal.jpeg"
"11","",347,497,3,88,"http://t.co/5992bJhdpX","FAB",2015-04-20 07:56:50,FALSE,FALSE,"awardingbodies","London, England","en","3186198969",14,FALSE,"http://pbs.twimg.com/profile_images/607919725545463808/TdxiFm5N_normal.png"
"12","The Construction Products Association represents UK manufacturers & suppliers of construction products - a £55bn industry directly employing 288,000+ people.",7197,6187,110,591,"http://t.co/CvcxRgSoKT","CPA",2011-08-16 15:40:07,FALSE,FALSE,"CPA_Tweets","The Building Centre, London","en","356255626",176,FALSE,"http://pbs.twimg.com/profile_images/877551342725812224/UGVbTgu-_normal.jpg"
"13","Leading the way in the UK for adoption of the #Passivhaus standard. UK affiliate of @the_iPHA.",10469,8601,2412,945,"https://t.co/TXrobTAp1I","Passivhaus Trust",2011-10-28 14:43:07,FALSE,FALSE,"PassivhausTrust","London","en","400117325",277,FALSE,"http://pbs.twimg.com/profile_images/498848990293532673/5t5MVUWX_normal.jpeg"
