Name ,Twitter,Hashtag,Core_Supply_chain,Core_Green,Core_govt,Core_training,Core_standards,Core_social_housing,
Department of Business and Industrial Strategy,beisgovuk,,1,1,1,1,0,0,
Department of Energy and Climate Change,DECCgovuk,,1,1,1,0,0,0,
Department for Communities and Local Government,CommunitiesUK,,1,1,1,0,1,1,
HM Treasury,hmtreasury,,1,0,1,0,0,0,
Federation of Master Builders,fmbuilders,,0,0,0,0,0,0,
National Federation of Builders,nfbuilders,#NFBuilders,0,0,0,0,0,0,
UK Green Building Council,UKGBC,,0,1,0,0,1,0,
Chartered Institute of Building,theCIOB,#CIOB,1,0,0,0,0,0,
Constructing Excellence,constructingexc,#constructingexcellence,0,0,1,0,0,0,
Construction Industry Training Board,CITB_UK,,1,0,1,1,0,0,
Federation of Awarding Bodies,awardingbodies,,0,0,0,1,0,0,
Construction Products Association,CPA_Tweets,,1,0,0,0,0,0,
Passivhaus Trust,PassivhausTrust,,0,1,0,0,1,0,
Association for Environment-Conscious Building,AECBnet,,0,1,0,0,1,0,
Green Construction Board,,#GreenConstructionBoard,0,1,1,0,0,0,
The Edge Debate,EdgeDebate,,0,1,0,0,0,0,
Royal Institution of British Architects,RIBA,,1,1,0,1,0,0,
Royal Institution of Chartered Surveyors,RICSnews,,0,0,0,1,0,0,
Chartered Institute of Building Services Engineers,CIBSE,,1,1,0,1,0,0,
CIBSE Journal,CIBSEJournal,,0,0,0,0,0,0,
British Association of Construction Heads,BAConstructHead,,0,0,0,1,0,0,
Association of Colleges,AoC_info,,0,0,0,1,0,0,
Local Authority Building Control,labcuk,,0,0,1,0,0,0,
Town and Country Planning Association,theTCPA,,0,0,0,0,0,0,
Residential Landlords Association,RLA_News,,0,0,0,0,0,0,
National Landlords Association,nationalandlord,#NationalLandlordsAssociation,0,0,0,0,0,0,
Chartered Institute of Housing,CIHhousing,,1,0,0,0,0,1,
National Housing Federation,natfednews,,0,0,0,0,0,0,
National Federation of Roofing Contractors,TheNFRC,,0,0,0,0,0,0,
Confederation of Roofing Contractors,corc101,,0,0,0,0,0,0,
Solar Trade Association,thesolartrade,,0,1,0,0,0,0,
Association for Project Management,APMProjectMgmt,,0,0,0,0,0,0,
Builders Merchants Federation,bmf_merchants,,1,0,0,0,0,0,
Worshipful Company of Builders Merchants,WCoBM,,0,0,0,0,0,0,
Institute of Builders Merchants,iobm_news,,0,0,0,0,0,0,
Energy UK,EnergyUKcomms,,0,0,0,0,0,0,
Association of Plumbing and Heating Contractors,aphc_uk,,1,0,0,0,0,0,
Chartered Institute of Plumbing and Heating Engineers,ciphe,,1,0,0,0,0,0,
Scottish and Northern Ireland Plumbing Employers' Federation,snipefnews,,0,0,0,0,0,0,
Gas Safe,GasSafeRegister,,0,0,1,0,1,0,
Construction Industry Council,CICtweet,,1,0,1,0,0,0,
Federation of Plastering and Drywall Contractors,,,0,0,0,0,0,0,
Kitchen Bathroom Bedroom Specialists Association,,,0,0,0,0,0,0,
National Insulation Association,NIALtd,,1,0,0,0,0,0,
Cavity Insulation Guarantee Agency,CavitywallCIGA,,1,0,0,0,0,0,
Microgeneration Certification Scheme,,,1,0,1,0,1,0,
FENSA,FENSA_Windows,,0,0,1,0,1,0,
Glass and Glazing Federation,ggf_news,,0,0,0,0,0,0,
Double Glazing and Conservatory Ombudsman Scheme,dgcos,,0,0,0,0,0,0,
Energy Saving Trust,EnergySvgTrust,,1,1,0,0,0,0,
Retrofit Academy,retrofitacademy,,0,1,1,1,0,0,
Carbon Trust,thecarbontrust,,0,1,1,0,0,0,
BRE Trust,thebretrust,,0,0,0,0,0,0,
BRE Group,BRE_Group,,0,0,0,0,1,0,
Joseph Rowntree Foundation,jrf_uk,,0,0,0,0,0,1,
Construction Leadership Council,,#constructionleadershipcouncil,1,0,1,0,0,0,
SummitSkills,,,0,0,0,0,0,0,
The Carpenters Company,,,0,0,0,0,0,0,
Inside Housing,insidehousing,,0,0,0,0,0,1,
,,,19,14,15,9,8,4,count
