"archcode","ndwel","nsample","age.Q1","age.Q2","age.Q3","sap.Q1","sap.Q2","sap.Q3","windows.Q1","windows.Q2","windows.Q3","doors.Q1","doors.Q2","doors.Q3","floorarea.Q1","floorarea.Q2","floorarea.Q3","groundfloorarea.Q1","groundfloorarea.Q2","groundfloorarea.Q3","control.Q1","control.Q2","control.Q3","radcontrol.Q1","radcontrol.Q2","radcontrol.Q3","solararea.Q1","solararea.Q2","solararea.Q3","intwallarea.Q1","intwallarea.Q2","intwallarea.Q3","intwallarea.extwalls.Q1","intwallarea.extwalls.Q2","intwallarea.extwalls.Q3","intwallarea.extpartywalls.Q1","intwallarea.extpartywalls.Q2","intwallarea.extpartywalls.Q3","intwallarea.frontwall.Q1","intwallarea.frontwall.Q2","intwallarea.frontwall.Q3","extwallarea.Q1","extwallarea.Q2","extwallarea.Q3","extwallarea.front.Q1","extwallarea.front.Q2","extwallarea.front.Q3","extwallarea.exceptfront.Q1","extwallarea.exceptfront.Q2","extwallarea.exceptfront.Q3","extwindowarea.Q1","extwindowarea.Q2","extwindowarea.Q3","dpcperim.Q1","dpcperim.Q2","dpcperim.Q3","nfloors.Q1","nfloors.Q2","nfloors.Q3","roofareaplan.Q1","roofareaplan.Q2","roofareaplan.Q3","roofareaslope.Q1","roofareaslope.Q2","roofareaslope.Q3","ceilingground.Q1","ceilingground.Q2","ceilingground.Q3","ceilingfirst.Q1","ceilingfirst.Q2","ceilingfirst.Q3","imd.Q1","imd.Q2","imd.Q3","gasgrid.yes","tank.wellins","wallins","loftins","citycentre","otherurban","suburban","ruralres","villagecentre","rural","own","rent.private","rent.la","rent.rsl"
"A-A-A-A-A-A-A",1620874,1008,1955,1966,1981,62.89,66.4,69.77,8,9,12,2,2,3,67.8,77.56,88.36,33.645,38.51,43.505,5,5,5,2,2,2,11.83545,13.8237,17.275,159.62,175.58,200.81,81.12,91.68,106.8,78.24,88.8,103.8,27.04,30.56,35.6,89.76,100.4784,115.75,29.92,33.4928,38.5833333333333,59.84,66.9856,77.1666666666667,17.18,22.03,28.24,18.8,20.6,23.6,2,2,2,46.82,52.98,61.5,57.09,64.64,75.03,2.3,2.4,2.4,2.3,2.4,2.4,3,5,8,100,0,67.9,32.3,17707,152005,1317491,103787,27784,2100,1069375,242599,115224,193676
"A-A-A-A-A-A-B",1081875,629,1960,1973,1992,58.09,64.13,67.81,8,9,11,2,2,3,67.35,77.48,88.83,33.63,38.205,43.57,5,5,5,1,2,2,11.8767,14.00685,17.63685,159.32,175.67,200.8,80.04,89.24,103.5,77.28,86.4,100.74,26.68,29.7466666666667,34.5,88.32,97.76,112.128,29.44,32.5866666666667,37.376,58.88,65.1733333333333,74.752,16.84,21.3,27.57,18.7,20.2,23,2,2,2,46.28,52.14,61.32,56.46,63.6,74.64,2.3,2.4,2.4,2.3,2.33,2.4,4,7,9,100,0.6,59.8,29.7,9862,75530,869494,110770,14461,1758,713292,141138,74347,153098
"B-A-A-A-A-A-B",1029007,368,1973,1985,1998,58.9,63.94,68.17,11,14,17,2,3,4,102.43,123.54,154.34,51.215,61.77,77.17,5,5,5,1,2,2,12.80375,15.4425,19.2925,221.48,259.14,295.38,144.46,161.28,188.16,144.46,161.28,188.16,36.115,40.32,47.04,155.644,172.8,200.54,38.911,43.2,50.135,116.733,129.6,150.405,27.54,35.61,45.98,33,36.8,41.8,2,2,2,72.32,85.52,106.83,87.47,104.34,128.74,2.3,2.4,2.4,2.3,2.3,2.4,7,9,10,100,1.9,57.5,29.7,0,28865,695189,237700,59566,7687,946073,77243,3434,2257
"H-A-A-A-A-A-A",1004604,860,1963,1976,1994,68.45,72.65,75.52,4,5,6,1,1,2,45.03,53.49,61.42,45.03,53.49,61.42,5,5,5,2,2,2,11.2575,13.3725,15.355,92.5,117.16,129.87,54.18,79.5745833333334,118.213333333333,51.3,76.8925,115.453333333333,27.09,39.7872916666666,59.1066666666667,57.06,82.345,120.973333333333,28.53,41.1725,60.4866666666667,28.53,41.1725,60.4866666666667,29.82,53.04,90.32,25.51,39,57.12,2,2,3,74.98,143.28,207.42,91.47,173.95,253.07,2.4,2.4,2.4,2.4,2.4,2.4,2,4,6,100,0,58,11.1,41618,237710,666331,51392,7553,0,231201,212313,202988,358102
"F-A-A-A-A-A-A",727492,488,1957,1969,1979,61.83,65.43,68.25,5,7,10,2,2,3,50.82,61.78,78.89,50.82,61.78,78.89,5,5,5,2,2,2,12.705,15.445,19.7225,113.65,131.82,161.01,48.24,65.76,88.5,48.24,65.76,88.5,12.06,16.44,22.125,53.904,71.52,94.5,13.476,17.88,23.625,40.428,53.64,70.875,13.55,18.18,24.02,22.6,29.9,39.4,1,1,1,64.42,78.8,101.5,78.51,96.1,123.83,2.3,2.4,2.4,2.4,2.4,2.4,4,6,8,100,0,75.7,41.1,7996,36224,513525,99269,68837,1641,444845,49463,107959,125225
"A-A-B-A-A-A-A",697531,389,1925,1933,1939,58.92,63.02,66.42,9,11,14,2,2,3,68.72,80.64,93.94,34.345,40.32,46.97,5,5,5,2,2,2,12.19845,14.24115,17.53125,167.95,188.67,217.59,88.068,99.5,119.88,85.116,96.5,116.64,29.356,33.1666666666667,39.96,96.924,108.5,128.64,32.308,36.1666666666667,42.88,64.616,72.3333333333333,85.76,20.28,25.13,31.33,19.5,21.9,25.3,2,2,2,47.8,55.79,68.65,58.13,67.56,82.75,2.4,2.5,2.6,2.4,2.48,2.5,2,4,6,100,0,59,30.7,4186,93645,563065,29736,6899,0,489322,91861,61707,54641
"C-B-B-A-A-A-A",624033,308,1878,1906,1918,56.27,59.9,63.69,6,8,10,2,2,2,61.16,72.32,84.51,30.55,36.04,42.255,4,5,5,1,2,2,15.275,18.02,21.1275,166.68,191.59,219.26,52.8,64.86,78.5664,46.332,59.22,72.864,26.4,32.43,39.2832,58.56,71.208,84.9024,29.28,35.604,42.4512,29.28,35.604,42.4512,14.82,18.93,23.86,11.3,14.04,16.6,2,2,2,43.42,50.89,60.93,52.74,61.48,73.93,2.45,2.55,2.66,2.42,2.55,2.7,2,3,5,100,0,3.8,24.2,31437,296567,249286,24136,13257,9350,334330,220122,28002,41579
"C-A-A-A-A-A-A",602496,446,1961,1974,1987,66.35,69.3,71.72,7,8,9,2,2,3,63.19,71.81,80.74,31.54,35.355,39.965,5,5,5,2,2,2,15.77,17.6775,19.9825,151.66,165.61,178.86,44.16,56.12,70.702,38.64,50.6,65.124,22.08,28.06,35.351,49.776,62.1152,76.36,24.888,31.0576,38.18,24.888,31.0576,38.18,13.66,17.6,21.94,10.6,13,15.96,2,2,2,42.26,47.24,52.89,51.26,57.54,64.52,2.3,2.4,2.4,2.3,2.32,2.4,2,4,6,100,0,54,35.3,3741,71752,464976,49448,12579,0,301021,141164,61151,99160
"B-A-A-A-A-A-A",549953,193,1971,1980,1995,62.71,66.84,69.32,10,12,15,2,3,4,88.12,113.6,137.79,44.06,56.8,68.365,5,5,5,2,2,2,11.015,14.2,17.09125,199.64,238.07,278.98,139.84,154.176,177.56,139.84,154.176,177.56,34.96,38.544,44.39,150.88,165.6,188.6,37.72,41.4,47.15,113.16,124.2,141.45,24.8,33.17,42.4,32.2,35,39.4,2,2,2,64.96,79.14,97.71,78.83,95.49,119.26,2.3,2.4,2.4,2.3,2.4,2.4,6,8,9,100,0,64.6,25.5,0,17324,463953,57112,8861,2703,500400,46176,1220,2157
"A-B-B-A-A-A-A",527991,241,1904,1921,1933,48.42,53.85,56.9,8,11,14,2,2,3,70.72,80.94,97.66,35.325,40.38,48.83,4,5,5,2,2,2,14.2263,17.4725,20.745,173.37,202.27,230.6,91.5,102.96,122.2,88.5,99.84,119.08,30.5,34.32,40.7333333333333,100.5,111.8,131.56,33.5,37.2666666666667,43.8533333333333,67,74.5333333333333,87.7066666666667,19.68,25.27,31.09,19.5,22.43,25.76,2,2,2,51.36,58.56,69.41,62.03,70.68,83.77,2.4,2.5,2.61,2.4,2.5,2.6,3,5,7,100,0,2.2,27.8,4983,194078,262524,46618,16208,3580,389407,97068,23115,18401
