"","type","storeyx","basement"
"1","House/Bungalow semi detached",2,"no"
"2","House/Bungalow mid terrace",2,"no"
"4","House/Bungalow bungalow",1,"no"
"13","Ground floor flat purpose built flat, low rise",2,"no"
"18","House/Bungalow detached",2,"no"
"19","House/Bungalow end terrace",2,"no"
"21","Top Floor Flat purpose built flat, low rise",2,"no"
"28","House/Bungalow semi detached",3,"no"
"37","Ground floor flat purpose built flat, low rise",3,"no"
"39","House/Bungalow mid terrace",3,"no"
"41","Ground floor flat converted flat",2,"no"
"51","Mid Floor Flat purpose built flat, high rise",16,"no"
"65","Mid Floor Flat purpose built flat, low rise",3,"no"
"90","Top Floor Flat purpose built flat, low rise",3,"no"
"102","House/Bungalow end terrace",3,"no"
"110","Ground floor flat converted flat",3,"no"
"118","House/Bungalow detached",3,"no"
"154","Mid Floor Flat purpose built flat, low rise",4,"no"
"168","House/Bungalow detached",2,"yes"
"189","Top Floor Flat converted flat",2,"no"
"198","House/Bungalow end terrace",3,"yes"
"199","Ground floor flat purpose built flat, low rise",4,"no"
"220","Mid Floor Flat purpose built flat, high rise",20,"no"
"264","Mid Floor Flat purpose built flat, high rise",8,"no"
"284","Mid Floor Flat purpose built flat, high rise",11,"no"
"290","House/Bungalow mid terrace",3,"yes"
"309","Mid Floor Flat converted flat",2,"no"
"348","Mid Floor Flat converted flat",4,"no"
"349","House/Bungalow mid terrace",4,"no"
"350","Mid Floor Flat converted flat",3,"no"
"351","Mid Floor Flat purpose built flat, high rise",10,"no"
"352","Mid Floor Flat purpose built flat, high rise",7,"no"
"353","House/Bungalow semi detached",2,"yes"
"355","Mid Floor Flat purpose built flat, high rise",14,"no"
"373","Top Floor Flat semi detached",2,"no"
"380","Top Floor Flat converted flat",3,"no"
"418","Top Floor Flat purpose built flat, low rise",4,"no"
"463","Mid Floor Flat purpose built flat, high rise",6,"no"
"465","Ground floor flat purpose built flat, high rise",8,"no"
"500","Top Floor Flat purpose built flat, high rise",7,"no"
"517","Mid Floor Flat purpose built flat, low rise",5,"no"
"523","Ground floor flat purpose built flat, low rise",3,"yes"
"533","Mid Floor Flat converted flat",5,"no"
"534","Top Floor Flat converted flat",5,"no"
"536","Ground floor flat converted flat",4,"no"
"541","House/Bungalow mid terrace",2,"yes"
"548","Ground floor flat purpose built flat, low rise",5,"no"
"569","Mid Floor Flat purpose built flat, high rise",13,"no"
"616","Top Floor Flat purpose built flat, low rise",5,"no"
"673","Basement Flat purpose built flat, low rise",5,"yes"
"675","Basement Flat converted flat",4,"yes"
"806","Mid Floor Flat purpose built flat, high rise",15,"no"
"1083","Top Floor Flat purpose built flat, high rise",6,"no"
"1188","Mid Floor Flat purpose built flat, high rise",17,"no"
"1204","Ground floor flat purpose built flat, high rise",6,"no"
"1222","Top Floor Flat purpose built flat, low rise",4,"yes"
"1226","Ground floor flat purpose built flat, high rise",7,"no"
"1228","Mid Floor Flat purpose built flat, high rise",18,"no"
"1255","Basement Flat converted flat",3,"yes"
"1309","Top Floor Flat purpose built flat, low rise",1,"no"
"1323","House/Bungalow detached",3,"yes"
"1524","Top Floor Flat converted flat",4,"no"
"1692","Mid Floor Flat purpose built flat, high rise",9,"no"
"1944","Mid Floor Flat purpose built flat, high rise",19,"no"
"1976","Top Floor Flat purpose built flat, high rise",8,"no"
"2001","House/Bungalow semi detached",3,"yes"
"2075","Top Floor Flat purpose built flat, high rise",12,"no"
"2557","Basement Flat converted flat",2,"yes"
"2715","Ground floor flat converted flat",3,"yes"
"3074","Mid Floor Flat purpose built flat, high rise",12,"no"
"3302","House/Bungalow bungalow",1,"yes"
"3560","Top Floor Flat purpose built flat, high rise",9,"no"
"3730","Ground floor flat converted flat",6,"no"
"3978","House/Bungalow end terrace",2,"yes"
"4034","Ground floor flat purpose built flat, high rise",16,"no"
"4326","Ground floor flat purpose built flat, high rise",15,"no"
"4384","Basement Flat purpose built flat, low rise",2,"yes"
"4782","House/Bungalow mid terrace",4,"yes"
"4802","House/Bungalow purpose built flat, low rise",1,"no"
"4986","Basement Flat purpose built flat, low rise",1,"yes"
"5238","Ground floor flat converted flat",4,"yes"
"5278","Ground floor flat purpose built flat, high rise",12,"no"
"5754","House/Bungalow converted flat",2,"no"
"6151","Basement Flat purpose built flat, low rise",4,"yes"
"6763","Top Floor Flat purpose built flat, high rise",10,"no"
"6937","Ground floor flat purpose built flat, high rise",17,"no"
"7121","Mid Floor Flat purpose built flat, low rise",2,"no"
"7388","Ground floor flat purpose built flat, high rise",10,"no"
"7396","House/Bungalow end terrace",4,"no"
"7774","Basement Flat converted flat",5,"yes"
"8526","Top Floor Flat purpose built flat, high rise",14,"no"
"9150","Ground floor flat purpose built flat, high rise",9,"no"
"10692","Mid Floor Flat converted flat",6,"no"
"11283","Ground floor flat purpose built flat, high rise",13,"no"
"11582","Top Floor Flat purpose built flat, high rise",20,"no"
"11900","Ground floor flat purpose built flat, low rise",2,"yes"
"11908","Top Floor Flat purpose built flat, high rise",16,"no"
"12347","Basement Flat purpose built flat, low rise",3,"yes"
