"","Finchtyp","mainfuel","watersys","tank","Finmhboi","count","countsamp","conf"
"3085","Central heating (wet with rads)","coal","Electric immersion heater","Tank with Immersion Heater","Back boiler",3152,3,1050.66666666667
"7571","Central heating (wet with rads)","coal","Electric immersion heater","Tank with Immersion Heater","No boiler",8064,3,2688
"5172","Central heating (wet with rads)","coal","With central heating","Tank with Immersion Heater","Standard",14062,9,1562.44444444444
"2","Central heating (wet with rads)","coal","With central heating","Tank with Immersion Heater","Back boiler",56534,41,1378.87804878049
"8496","Central heating (wet with rads)","coal","With central heating","Tank without Immersion Heater","Standard",5044,2,2522
"4715","Central heating (wet with rads)","coal","With central heating","Tank without Immersion Heater","Back boiler",10578,8,1322.25
"8965","Central heating (wet with rads)","community heating from boilers","Electric immersion heater","Tank with Immersion Heater","Unknown",1203,1,1203
"10310","Central heating (wet with rads)","electricity","Electric immersion heater","Tank with Immersion Heater","Standard",4172,4,1043
"11784","Central heating (wet with rads)","electricity","Electric immersion heater","Tank with Immersion Heater","Combined primary storage unit",643,1,643
"340","Central heating (wet with rads)","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",17027,13,1309.76923076923
"10956","Central heating (wet with rads)","electricity","Electric immersion heater","Tank without Immersion Heater","No boiler",3243,2,1621.5
"3210","Central heating (wet with rads)","electricity","Instantaneous","No Tank","No boiler",2141,1,2141
"1776","Central heating (wet with rads)","electricity","With central heating","No Tank","Combination",765,1,765
"9388","Central heating (wet with rads)","electricity","With central heating","No Tank","Combined primary storage unit",6978,3,2326
"1005","Central heating (wet with rads)","electricity","With central heating","No Tank","No boiler",1816,1,1816
"470","Central heating (wet with rads)","electricity","With central heating","Tank with Immersion Heater","Standard",9622,10,962.2
"412","Central heating (wet with rads)","electricity","With central heating","Tank with Immersion Heater","Combined primary storage unit",4694,2,2347
"4146","Central heating (wet with rads)","electricity","With central heating","Tank with Immersion Heater","No boiler",5853,2,2926.5
"42","Central heating (wet with rads)","electricity","With central heating","Tank without Immersion Heater","Standard",8512,7,1216
"2503","Central heating (wet with rads)","electricity","With central heating","Tank without Immersion Heater","Combined primary storage unit",3933,3,1311
"4647","Central heating (wet with rads)","electricity","With central heating","Tank without Immersion Heater","No boiler",3852,3,1284
"1837","Central heating (wet with rads)","gas (mains)","Dedicated boiler","No Tank","Standard",21609,12,1800.75
"268","Central heating (wet with rads)","gas (mains)","Dedicated boiler","No Tank","Back boiler",1735,1,1735
"1075","Central heating (wet with rads)","gas (mains)","Dedicated boiler","No Tank","Condensing",1582,2,791
"7022","Central heating (wet with rads)","gas (mains)","Dedicated boiler","Tank with Immersion Heater","Standard",7196,3,2398.66666666667
"1398","Central heating (wet with rads)","gas (mains)","Dedicated boiler","Tank with Immersion Heater","Back boiler",7777,6,1296.16666666667
"5598","Central heating (wet with rads)","gas (mains)","Dedicated boiler","Tank with Immersion Heater","Condensing",1413,1,1413
"1382","Central heating (wet with rads)","gas (mains)","Dedicated boiler","Tank without Immersion Heater","Standard",6863,5,1372.6
"359","Central heating (wet with rads)","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Standard",90292,59,1530.37288135593
"1559","Central heating (wet with rads)","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Back boiler",25016,15,1667.73333333333
"2189","Central heating (wet with rads)","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Combination",5365,4,1341.25
"841","Central heating (wet with rads)","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Condensing",25658,16,1603.625
"631","Central heating (wet with rads)","gas (mains)","Electric immersion heater","Tank with Immersion Heater","Condensing combi",14231,7,2033
"2387","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","Standard",28352,14,2025.14285714286
"9520","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","Back boiler",3679,2,1839.5
"4772","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","Combination",12111,9,1345.66666666667
"7128","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","Condensing",3741,2,1870.5
"981","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","Condensing combi",24833,14,1773.78571428571
"3483","Central heating (wet with rads)","gas (mains)","Instantaneous","No Tank","No boiler",1784,1,1784
"2647","Central heating (wet with rads)","gas (mains)","Instantaneous","Tank without Immersion Heater","Standard",2625,2,1312.5
"14194","Central heating (wet with rads)","gas (mains)","Instantaneous","Tank without Immersion Heater","Back boiler",472,1,472
"6188","Central heating (wet with rads)","gas (mains)","Instantaneous","Tank without Immersion Heater","Condensing",6594,2,3297
"1471","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Standard",22630,13,1740.76923076923
"9501","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Back boiler",6976,3,2325.33333333333
"13","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Combination",4072028,2619,1554.80259641084
"669","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Condensing",11304,9,1256
"1","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Condensing combi",6089284,4190,1453.28973747017
"2663","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","Combined primary storage unit",16268,10,1626.8
"648","Central heating (wet with rads)","gas (mains)","With central heating","No Tank","No boiler",8058,4,2014.5
"8","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Standard",3754508,2318,1619.7187230371
"9","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Back boiler",672241,460,1461.39347826087
"162","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Combination",125934,79,1594.10126582278
"68","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Condensing",1458784,889,1640.92688413948
"238","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Condensing combi",127052,74,1716.91891891892
"5295","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","Combined primary storage unit",2562,1,2562
"766","Central heating (wet with rads)","gas (mains)","With central heating","Tank with Immersion Heater","No boiler",1728,2,864
"110","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Standard",1137488,714,1593.12044817927
"135","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Back boiler",321036,241,1332.09958506224
"588","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Combination",58630,33,1776.66666666667
"222","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Condensing",432074,268,1612.21641791045
"374","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Condensing combi",46431,33,1407
"177","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","Combined primary storage unit",5524,5,1104.8
"2289","Central heating (wet with rads)","gas (mains)","With central heating","Tank without Immersion Heater","No boiler",2280,2,1140
"2893","Central heating (wet with rads)","gas (other)","Electric immersion heater","Tank with Immersion Heater","Condensing combi",1648,1,1648
"14202","Central heating (wet with rads)","gas (other)","With central heating","No Tank","Back boiler",4433,1,4433
