Finchtyp,mainfuel,watersys,tank,count,countsamp,conf,EnergyType
Central heating (wet with rads),gas (mains),with central heating,No Tank,11187420,6412,1744.762944,A
Central heating (wet with rads),gas (other),with central heating,Tank without Immersion Heater,16481,7,2354.428571,U
Communal/CHP,community heating from CHP/waste heat,with central heating,No Tank,15892,11,1444.727273,V
Central heating (wet with rads),wood,with central heating,Tank with Immersion Heater,14313,8,1789.125,W
Central heating (wet with rads),wood,with central heating,Tank without Immersion Heater,11238,3,3746,X
Central heating (wet with rads),gas (mains),instantaneous,Tank without Immersion Heater,7822,3,2607.333333,Y
Central heating (wet with rads),gas (mains),dedicated boiler,No Tank,6870,2,3435,Z
Central heating (wet with rads),heating oil ,dedicated boiler,Tank with Immersion Heater,6642,2,3321,AA
Central heating (wet with rads),heating oil ,electric immersion heater,Tank with Immersion Heater,9317,5,1863.4,AA
Central heating (wet with rads),heating oil ,instantaneous,No Tank,2256,1,2256,AA
Communal/CHP,community heating from boilers,instantaneous,No Tank,6612,4,1653,AB
Central heating (wet with rads),gas (mains),with central heating,Tank with Immersion Heater,5813689,2817,2063.787362,B
Communal/CHP,community heating from CHP/waste heat,with central heating,Tank without Immersion Heater,6196,5,1239.2,AC
Central heating (wet with rads),gas (mains),dedicated boiler,Tank with Immersion Heater,5014,3,1671.333333,AD
Central heating (wet with rads),gas (mains),dedicated boiler,Tank without Immersion Heater,4479,3,1493,AE
Communal/CHP,community heating from CHP/waste heat,with central heating,Tank with Immersion Heater,3855,2,1927.5,AF
Central heating (wet with rads),gas (other),electric immersion heater,Tank with Immersion Heater,3481,1,3481,AG
Communal/CHP,community heating from CHP/waste heat,electric immersion heater,Tank with Immersion Heater,1958,3,652.6666667,AH
Central heating (wet with rads),wood,electric immersion heater,Tank with Immersion Heater,1846,1,1846,AI
Central heating (wet with rads),gas (mains),with central heating,Tank without Immersion Heater,2139186,1077,1986.245125,C
Communal/CHP,community heating from boilers,instantaneous,Tank without Immersion Heater,936,2,468,AJ
Storage heaters,electricity,dedicated boiler,No Tank,14027,8,1753.375,D
Storage heaters,electricity,dedicated boiler,Tank with Immersion Heater,8387,3,2795.666667,D
Storage heaters,electricity,dedicated boiler,Tank without Immersion Heater,1526,1,1526,D
Storage heaters,electricity,electric immersion heater,No Tank,4692,4,1173,D
Storage heaters,electricity,electric immersion heater,Tank with Immersion Heater,1260385,763,1651.880734,D
Storage heaters,electricity,instantaneous,No Tank,43261,23,1880.913043,D
Storage heaters,electricity,instantaneous,Tank without Immersion Heater,7358,4,1839.5,D
Central heating (wet with rads),heating oil ,with central heating,Tank with Immersion Heater,521933,208,2509.293269,E
Room heaters,coal,dedicated boiler,Tank with Immersion Heater,17110,7,2444.285714,F
Room heaters,coal,electric immersion heater,No Tank,7188,2,3594,F
Room heaters,coal,electric immersion heater,Tank with Immersion Heater,8942,4,2235.5,F
Room heaters,coal,instantaneous,No Tank,2153,1,2153,F
Room heaters,electricity,dedicated boiler,No Tank,12054,4,3013.5,F
Room heaters,electricity,electric immersion heater,No Tank,3022,1,3022,F
Room heaters,electricity,electric immersion heater,Tank with Immersion Heater,245856,105,2341.485714,F
Room heaters,electricity,instantaneous,No Tank,39450,14,2817.857143,F
Room heaters,electricity,instantaneous,Tank without Immersion Heater,1217,1,1217,F
Room heaters,gas (mains),dedicated boiler,Tank with Immersion Heater,2478,2,1239,F
