type,dwage9x,floor5x,count,countsamp,GeneralType
Basement converted flat,1850 to 1899,110 sqm or more,2020,1,XA
Basement converted flat,1850 to 1899,50 to 69 sqm,12390,7,XA
Basement converted flat,1850 to 1899,70 to 89 sqm,10989,4,XA
Basement converted flat,1850 to 1899,90 to 109 sqm,8127,3,XA
Basement converted flat,1850 to 1899,less than 50 sqm,17318,6,XA
Basement converted flat,1900 to 1918,90 to 109 sqm,5826,1,XA
Basement converted flat,1900 to 1918,less than 50 sqm,1168,1,XA
Basement converted flat,1919 to 1944,110 sqm or more,1639,1,XA
Basement converted flat,1919 to 1944,50 to 69 sqm,1102,1,XA
Basement converted flat,pre 1850,50 to 69 sqm,3796,1,XA
Basement converted flat,pre 1850,70 to 89 sqm,1656,1,XA
Basement converted flat,pre 1850,less than 50 sqm,4643,2,XA
"Basement purpose built flat, low rise",1850 to 1899,50 to 69 sqm,1591,1,XE
"Basement purpose built flat, low rise",1850 to 1899,less than 50 sqm,4815,3,XE
"Basement purpose built flat, low rise",1965 to 1974,less than 50 sqm,668,1,XE
"Basement purpose built flat, low rise",post 1990,50 to 69 sqm,2604,2,XE
"Basement purpose built flat, low rise",post 1990,70 to 89 sqm,1772,1,XE
bungalow,1850 to 1899,110 sqm or more,10435,3,XF
bungalow,1850 to 1899,50 to 69 sqm,930,1,XF
bungalow,1850 to 1899,70 to 89 sqm,956,1,XF
bungalow,1850 to 1899,90 to 109 sqm,6786,1,XF
bungalow,1900 to 1918,110 sqm or more,4749,2,XG
bungalow,1900 to 1918,50 to 69 sqm,5112,3,XG
bungalow,1900 to 1918,70 to 89 sqm,1693,1,XG
bungalow,1900 to 1918,90 to 109 sqm,2179,1,XG
bungalow,1900 to 1918,less than 50 sqm,2090,3,XG
bungalow,1919 to 1944,110 sqm or more,14705,5,KM
bungalow,1919 to 1944,50 to 69 sqm,98763,37,CG
bungalow,1919 to 1944,70 to 89 sqm,50579,20,EQ
bungalow,1919 to 1944,90 to 109 sqm,33225,14,GD
bungalow,1919 to 1944,less than 50 sqm,43938,34,CQ
bungalow,1945 to 1964,110 sqm or more,67543,19,EX
bungalow,1945 to 1964,50 to 69 sqm,234783,132,M
bungalow,1945 to 1964,70 to 89 sqm,128542,51,BQ
bungalow,1945 to 1964,90 to 109 sqm,49160,19,EY
bungalow,1945 to 1964,less than 50 sqm,153681,178,G
bungalow,1965 to 1974,110 sqm or more,75909,28,DK
bungalow,1965 to 1974,50 to 69 sqm,216807,125,R
bungalow,1965 to 1974,70 to 89 sqm,134046,55,BL
bungalow,1965 to 1974,90 to 109 sqm,58189,17,FJ
bungalow,1965 to 1974,less than 50 sqm,65736,68,BA
bungalow,1975 to 1980,110 sqm or more,30209,9,IC
bungalow,1975 to 1980,50 to 69 sqm,58746,40,CC
bungalow,1975 to 1980,70 to 89 sqm,51471,20,ER
bungalow,1975 to 1980,90 to 109 sqm,27402,11,HD
bungalow,1975 to 1980,less than 50 sqm,30133,30,DD
bungalow,1981 to 1990,110 sqm or more,20583,9,ID
bungalow,1981 to 1990,50 to 69 sqm,108093,62,BH
bungalow,1981 to 1990,70 to 89 sqm,37293,14,GE
bungalow,1981 to 1990,90 to 109 sqm,29025,10,HJ
bungalow,1981 to 1990,less than 50 sqm,64608,51,BR
bungalow,post 1990,110 sqm or more,18858,7,JI
bungalow,post 1990,50 to 69 sqm,62253,47,BT
bungalow,post 1990,70 to 89 sqm,55493,21,EM
bungalow,post 1990,90 to 109 sqm,24189,9,IE
bungalow,post 1990,less than 50 sqm,31647,17,FK
bungalow,pre 1850,110 sqm or more,2020,1,XF
bungalow,pre 1850,50 to 69 sqm,2408,1,XF
bungalow,pre 1850,90 to 109 sqm,1802,1,XF
bungalow,pre 1850,less than 50 sqm,870,1,XF
converted flat 2 floors,pre 1850,70 to 89 sqm,1102,1,Other
detached 2 floors,1850 to 1899,110 sqm or more,80125,33,CU
detached 2 floors,1850 to 1899,50 to 69 sqm,3562,2,OM
detached 2 floors,1850 to 1899,70 to 89 sqm,17515,6,JU
detached 2 floors,1850 to 1899,90 to 109 sqm,43614,14,GF
detached 2 floors,1850 to 1899,less than 50 sqm,3075,2,ON
detached 2 floors,1900 to 1918,110 sqm or more,74048,26,DP
detached 2 floors,1900 to 1918,50 to 69 sqm,2975,1,YU
detached 2 floors,1900 to 1918,70 to 89 sqm,7391,4,LN
detached 2 floors,1900 to 1918,90 to 109 sqm,12254,5,KN
detached 2 floors,1900 to 1918,less than 50 sqm,470,1,YU
detached 2 floors,1919 to 1944,110 sqm or more,352564,113,Y
detached 2 floors,1919 to 1944,50 to 69 sqm,7786,3,MT
detached 2 floors,1919 to 1944,70 to 89 sqm,37872,19,EZ
detached 2 floors,1919 to 1944,90 to 109 sqm,53929,20,ES
detached 2 floors,1945 to 1964,110 sqm or more,359699,121,U
detached 2 floors,1945 to 1964,50 to 69 sqm,7584,3,YV
detached 2 floors,1945 to 1964,70 to 89 sqm,20904,9,IF
detached 2 floors,1945 to 1964,90 to 109 sqm,74388,25,DS
detached 2 floors,1945 to 1964,less than 50 sqm,2776,1,YV
detached 2 floors,1965 to 1974,110 sqm or more,402573,145,K
detached 2 floors,1965 to 1974,50 to 69 sqm,1918,1,RO
detached 2 floors,1965 to 1974,70 to 89 sqm,79408,29,DI
detached 2 floors,1965 to 1974,90 to 109 sqm,79313,35,CO
detached 2 floors,1975 to 1980,110 sqm or more,238433,75,AV
detached 2 floors,1975 to 1980,50 to 69 sqm,24986,8,IT
detached 2 floors,1975 to 1980,70 to 89 sqm,55480,24,DX
detached 2 floors,1975 to 1980,90 to 109 sqm,82132,34,CR
detached 2 floors,1981 to 1990,110 sqm or more,271553,99,AD
detached 2 floors,1981 to 1990,50 to 69 sqm,34042,13,GL
detached 2 floors,1981 to 1990,70 to 89 sqm,77083,30,DE
detached 2 floors,1981 to 1990,90 to 109 sqm,116813,35,CP
detached 2 floors,1981 to 1990,less than 50 sqm,1541,1,RP
detached 2 floors,post 1990,110 sqm or more,592553,192,F
detached 2 floors,post 1990,50 to 69 sqm,35098,12,GT
detached 2 floors,post 1990,70 to 89 sqm,88239,37,CH
detached 2 floors,post 1990,90 to 109 sqm,218479,80,AR
detached 2 floors,post 1990,less than 50 sqm,1412,1,RQ
detached 2 floors,pre 1850,110 sqm or more,183191,69,AZ
detached 2 floors,pre 1850,50 to 69 sqm,940,1,YW
detached 2 floors,pre 1850,70 to 89 sqm,17751,4,LO
detached 2 floors,pre 1850,90 to 109 sqm,24827,10,HK
detached 2 floors,pre 1850,less than 50 sqm,1890,1,YW
detached 3 floors,1850 to 1899,110 sqm or more,38327,10,HL
detached 3 floors,1850 to 1899,70 to 89 sqm,1204,1,YX
detached 3 floors,1850 to 1899,90 to 109 sqm,1988,1,YX
detached 3 floors,1900 to 1918,110 sqm or more,21980,10,HM
detached 3 floors,1900 to 1918,70 to 89 sqm,2193,1,RV
detached 3 floors,1919 to 1944,110 sqm or more,26302,10,HN
detached 3 floors,1945 to 1964,110 sqm or more,18899,8,IU
detached 3 floors,1965 to 1974,110 sqm or more,17747,3,MV
detached 3 floors,1975 to 1980,110 sqm or more,2219,1,YY
detached 3 floors,1975 to 1980,90 to 109 sqm,2706,1,YY
detached 3 floors,1981 to 1990,110 sqm or more,17866,5,KO
detached 3 floors,post 1990,110 sqm or more,89282,30,DF
detached 3 floors,post 1990,70 to 89 sqm,1536,1,RY
detached 3 floors,post 1990,90 to 109 sqm,5769,3,MW
detached 3 floors,pre 1850,110 sqm or more,28102,13,GM
detached 3 floors,pre 1850,90 to 109 sqm,1249,1,RZ
end terrace 2 floors,1850 to 1899,110 sqm or more,41499,12,GU
end terrace 2 floors,1850 to 1899,50 to 69 sqm,43534,25,DT
end terrace 2 floors,1850 to 1899,70 to 89 sqm,70534,30,DG
end terrace 2 floors,1850 to 1899,90 to 109 sqm,48457,18,FE
end terrace 2 floors,1850 to 1899,less than 50 sqm,2751,3,MX
end terrace 2 floors,1900 to 1918,110 sqm or more,40332,15,GA
end terrace 2 floors,1900 to 1918,50 to 69 sqm,65065,25,DU
end terrace 2 floors,1900 to 1918,70 to 89 sqm,66427,32,CX
end terrace 2 floors,1900 to 1918,90 to 109 sqm,26442,11,HE
end terrace 2 floors,1900 to 1918,less than 50 sqm,5132,3,MY
end terrace 2 floors,1919 to 1944,110 sqm or more,24493,9,IG
end terrace 2 floors,1919 to 1944,50 to 69 sqm,130322,97,AF
end terrace 2 floors,1919 to 1944,70 to 89 sqm,168170,83,AP
end terrace 2 floors,1919 to 1944,90 to 109 sqm,69684,21,EN
end terrace 2 floors,1919 to 1944,less than 50 sqm,4426,4,LP
end terrace 2 floors,1945 to 1964,110 sqm or more,23442,9,IH
end terrace 2 floors,1945 to 1964,50 to 69 sqm,119019,116,W
end terrace 2 floors,1945 to 1964,70 to 89 sqm,166042,140,L
end terrace 2 floors,1945 to 1964,90 to 109 sqm,35194,23,EE
end terrace 2 floors,1945 to 1964,less than 50 sqm,2106,2,OO
end terrace 2 floors,1965 to 1974,110 sqm or more,9657,7,JJ
end terrace 2 floors,1965 to 1974,50 to 69 sqm,49707,37,CI
end terrace 2 floors,1965 to 1974,70 to 89 sqm,109190,89,AL
end terrace 2 floors,1965 to 1974,90 to 109 sqm,40503,22,EH
end terrace 2 floors,1975 to 1980,110 sqm or more,2360,2,OP
end terrace 2 floors,1975 to 1980,50 to 69 sqm,27563,19,FA
end terrace 2 floors,1975 to 1980,70 to 89 sqm,49426,43,BX
end terrace 2 floors,1975 to 1980,90 to 109 sqm,8410,5,KP
end terrace 2 floors,1975 to 1980,less than 50 sqm,4498,5,KQ
end terrace 2 floors,1981 to 1990,110 sqm or more,2976,1,SA
end terrace 2 floors,1981 to 1990,50 to 69 sqm,64530,43,BY
end terrace 2 floors,1981 to 1990,70 to 89 sqm,40977,22,EI
end terrace 2 floors,1981 to 1990,90 to 109 sqm,11820,7,JK
end terrace 2 floors,1981 to 1990,less than 50 sqm,33221,13,GN
end terrace 2 floors,post 1990,110 sqm or more,11594,5,KR
end terrace 2 floors,post 1990,50 to 69 sqm,137213,76,AU
end terrace 2 floors,post 1990,70 to 89 sqm,94001,67,BC
end terrace 2 floors,post 1990,90 to 109 sqm,11836,13,GO
end terrace 2 floors,post 1990,less than 50 sqm,15520,11,HF
end terrace 2 floors,pre 1850,110 sqm or more,18567,9,ZN
end terrace 2 floors,pre 1850,50 to 69 sqm,6541,4,ZN
end terrace 2 floors,pre 1850,70 to 89 sqm,7959,3,ZN
end terrace 2 floors,pre 1850,90 to 109 sqm,6274,1,ZN
end terrace 2 floors,pre 1850,less than 50 sqm,2917,2,ZN
end terrace 3 floors,1850 to 1899,110 sqm or more,30361,12,GV
end terrace 3 floors,1850 to 1899,50 to 69 sqm,3657,1,YE
