ID,sub-project,variations,options,"compatible 
standard",materials,hired plant ,labour,comments,wall,floor,roof,solar,window,energy,type,winage,arnatx,LoftIns,wallinsy
SD1,survey/design,informal process,work done by on-site workers,typical,none,none,"survey, client liaison, design, specification",,All,All,All,All,All,All,All,All,All,All,All
SD2,survey/design,formal process,dedicated professional roles,deep,none,none,"survey, client liaison, design, specification","derive as percentage of total project value, say 10%",All,All,All,All,All,All,All,All,All,All,All
SP1,site preparation,context-specific,,all,timber/brick/mortar as needed,none,remove fixtures and fittings; structural repairs as needed,,All,All,All,All,All,All,All,All,All,All,All
FI1,floor insulation,concrete throughout,excavate and replace entire floor,deep,XPS/EPS,hammer drill/excavator,dig out old floor; lay new floor,,All,A,All,All,All,All,All,All,All,All,All
FI2,floor insulation,concrete throughout,5mm insulation on top,typical,foam rubber,none,"cut and fit insulation; knock-on works to steps, doors and thresholds",,All,A,All,All,All,All,All,All,All,All,All
FI3,floor insulation,concrete throughout,do nothing,typical,none,none,none,,All,A,All,All,All,All,All,All,All,All,All
FI4,floor insulation,suspended timber throughout,fill gaps between floorboards,typical,resin filler,none,"mix filler, apply and finish",typically done as part of a floor sanding project,All,B,All,All,All,All,All,All,All,All,All
FI5,floor insulation,suspended timber throughout,insulate between joists,deep,mineral wool,none,lift floor and re-lay after; fix support for insulation; cut and fit insulation,assume there is no access from beneath the floor,All,B,All,All,All,All,All,All,All,All,All
FI6,floor insulation,suspended timber throughout,insulate between and beneath joists,deep,"mineral wool, insulated plasterboard",none,fix support for insulation; cut and fit insulation; finish,assume there is access from beneath (eg basement),All,B,All,All,All,All,All,All,All,All,All
CW1,wall insulation,cavity wall,full cavity fill,typical,mineral wool,CWI rig,operate CWI rig,,A,All,All,All,All,All,All,All,All,All,cavity uninsulated
CW2,wall insulation,cavity wall,cavity fill + internal,deep,"mineral wool, insulated plasterboard",CWI rig,"operate CWI rig; prepare internal wall, cut and fit IWI, make good",,A,All,All,All,All,All,All,All,All,All,cavity uninsulated
CW3,wall insulation,cavity wall,cavity fill + external,deep,"mineral wool, rigid board, rainscreen",CWI rig,operate CWI rig; cut and fit insulation; relocate pipework; extend roof eaves,,A,All,All,All,All,All,All,All,All,All,cavity uninsulated
CW4,wall insulation,cavity wall,remove outer leaf and re-build wall,deep,brick/block; insulation board; ties; mortar,none,bricklaying; cut and fit insulation,an extreme solution seen in some RfF projects; similar cost and more hassle compared with demolition and re-build,A,All,All,All,All,All,All,All,All,All,cavity uninsulated
SW1,wall insulation,solid wall,internal insulation,typical,semi-rigid insulation board,none,cut and fit insulation; internal finish,,"B, C, D",All,All,All,All,All,All,All,All,All,"cavity with insulation, solid uninsulated, cavity uninsulated, other"
SW2,wall insulation,solid wall,external insulation,deep,rigid insulation board; rainscreen; fixing frame,none,cut and fit insulation; relocate pipework; extend roof eaves,,"B, C, D",All,All,All,All,All,All,All,All,All,"cavity with insulation, solid uninsulated, cavity uninsulated, other"
