,Measure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
15,Boiler replacements,19417213,19090517,19050132,19004861,18954144,18897359,18833826,18762796,18683456,18594917,18496222,18386338,18264161,18128518,17978176,17811848,17628209,17425911,17203610,16959992,16693806,16403909,16089305,15749199,15383050,14990624,14572048,14127857,13659036,13167044,12653830,12121824,11573910,11013373,10443836,9869163,9293362,10696739.26,,
,,326696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403377.26,,
,,,20493894.26,20453509.26,20408238.26,20357521.26,20300736.26,20237203.26,20166173.26,20086833.26,19998294.26,19899599.26,19789715.26,19667538.26,19531895.26,19381553.26,19215225.26,19031586.26,18829288.26,18606987.26,18363369.26,18097183.26,17807286.26,17492682.26,17152576.26,16786427.26,16394001.26,15975425.26,15531234.26,15062413.26,14570421.26,14057207.26,13525201.26,12977287.26,12416750.26,11847213.26,11272540.26,10696739.26,,,
,,1,0.983174928,0.981095073,0.978763585,0.976151624,0.973227157,0.969955163,0.966297068,0.962211003,0.957651183,0.952568322,0.946909219,0.940617019,0.933631309,0.925888592,0.917322584,0.907865047,0.897446559,0.885997903,0.873451406,0.859742642,0.844812744,0.828610419,0.811094723,0.792237794,0.772027582,0.750470626,0.72759448,0.703449872,0.678111941,0.651681063,0.624282383,0.59606443,0.567196384,0.537864832,0.508268772,0.478614619,0.550889526,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.151008565,,,
,,1.151008565,1.131642763,1.129248832,1.126565269,1.12355888,1.120192793,1.1164267,1.112216202,1.107513106,1.102264714,1.096414297,1.089900622,1.082658245,1.074617634,1.065705699,1.055846151,1.044960445,1.032968677,1.019791175,1.00535005,0.989571144,0.972386704,0.953737689,0.933576973,0.911872487,0.888610359,0.863798119,0.837467479,0.809676828,0.780512652,0.750090485,0.71855437,0.686075264,0.652847896,0.619087028,0.585021709,0.550889526,,,
,,22349378.47,21603645.41,21512339.31,21410216.35,21296096.8,21168685.36,21026586.22,20868285.71,20692172.39,20496520.87,20279522.24,20039281.21,19773844.49,19481225.12,19159444.63,18806571.15,18420781.13,18000420.22,17544089.66,17050728.8,16519708.71,15950943.01,15344976.57,14703089.53,14027380.06,13320823.78,12587307.65,11831620.78,11059404.94,10277044.44,9491517.478,8710189.604,7940573.362,7190057.391,6465643.39,5773674.609,5119615.784,,m,37929.11514
,y= mx + c,,237929.1151,275858.2303,313787.3454,351716.4605,389645.5757,427574.6908,465503.8059,503432.9211,541362.0362,579291.1514,617220.2665,655149.3816,693078.4968,731007.6119,768936.727,806865.8422,844794.9573,882724.0724,920653.1876,958582.3027,996511.4178,1034440.533,1072369.648,1110298.763,1148227.878,1186156.994,1224086.109,1262015.224,1299944.339,1337873.454,1375802.569,1413731.684,1451660.799,1489589.915,1527519.03,1565448.145,1603377.26,c,200000
,,19417213,19328446.12,19325990.23,19318648.35,19305860.46,19287004.58,19261400.69,19228299.81,19186888.92,19136279.04,19075513.15,19003558.27,18919310.38,18821596.5,18709183.61,18580784.73,18435074.84,18270705.96,18086334.07,17880645.19,17652388.3,17400420.42,17123745.53,16821568.65,16493348.76,16138851.88,15758204.99,15351943.11,14921051.22,14466988.34,13991703.45,13497626.57,12987641.68,12465033.8,11933425.91,11396682.03,10858810.14,10696739.26,,
,,19417213,19328446,19325990,19318648,19305860,19287005,19261401,19228300,19186889,19136279,19075513,19003558,18919310,18821596,18709184,18580785,18435075,18270706,18086334,17880645,17652388,17400420,17123746,16821569,16493349,16138852,15758205,15351943,14921051,14466988,13991703,13497627,12987642,12465034,11933426,11396682,10858810,10696739,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,forcing the boil cuve ot match the data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
