winage,dblglaz4,count,countsamp,conf,WindowType,WindowLevels
0 -10 years,entire house,4023518,2418,1663.985939,A,A1
10 - 20 years,entire house,6935286,4082,1698.992161,A,A2
20 - 30 years,entire house,3022856,1587,1904.761185,A,A3
30 - 40 years,entire house,619676,266,2329.609023,A,A4
40 plus years,entire house,3996856,2037,1962.128621,A,A5
0 -10 years,less than half,337436,155,2177.006452,C,C1
10 - 20 years,less than half,359601,158,2275.955696,C,C2
20 - 30 years,less than half,213038,80,2662.975,C,C3
30 - 40 years,less than half,78312,30,2610.4,C,C4
40 plus years,less than half,74182,35,2119.485714,C,C5
0 -10 years,more than half,441575,199,2218.969849,B,B1
10 - 20 years,more than half,876832,408,2149.098039,B,B2
20 - 30 years,more than half,598410,238,2514.327731,B,B3
30 - 40 years,more than half,232858,75,3104.773333,B,B4
40 plus years,more than half,148062,62,2388.096774,B,B5
0 -10 years,no double glazing,1295283,668,1939.046407,D,D
