"","name","degree.total","degree.in","degree.out","strength.total","strength.in","strength.out","between","closeness","eigenvector","PageRank","degreeStrength.out","degreeStrength.in","Account Category","Account Type","description","statusesCount","followersCount","favoritesCount","friendsCount","name.y","created","protected","verified","location","lang","id"
"1","jrf_uk",5508,572,4936,12876,5721,7155,1,1,1,0.467682725742785,1.44955429497569,10.0017482517483,"Keep","Charity","The Joseph Rowntree Foundation is an independent organisation working to inspire social change through research, policy and practice. #solveukpoverty",34421,148244,2517,73427,"Joseph Rowntree Fdn.",2009-01-31 22:05:40,FALSE,TRUE,"York, UK","en","19834221"
"2","natfednews",3987,571,3416,12208,5119,7089,0.504834677614204,0.906110907472378,0.119246816206872,0.568646740926921,2.07523419203747,8.96497373029772,"Keep","Business","News and views from the team at the National Housing Federation, the voice of affordable housing in England.",12111,31983,4971,13998,"National Housing Fed",2011-01-05 15:06:32,FALSE,FALSE,"England","en","234392296"
"3","RIBA",3740,852,2888,11993,6929,5064,0.732349077229879,0.893663172029128,0.0751329680642101,0.905840095945569,1.75346260387812,8.13262910798122,"Keep","Business","News, updates and insight from the Royal Institute of British Architects (RIBA) <ed><U+00A0><U+00BE><ed><U+00B6><U+0081>#architecture #architects #RIBAAwards #RIBACollections",23004,146322,25015,12080,"RIBA",2008-08-27 12:12:17,FALSE,TRUE,"Global","en","16010685"
"4","SuButcher",3731,509,3222,6646,2862,3784,0.542856074943406,0.922044013427825,0.0195033132695871,0.364879714232824,1.17442582247052,5.62278978388998,"Related","Individual","I help construction companies use the internet better: https://t.co/2Bhvl4Q6uW Socialist, business owner and XYL",135985,23172,14527,15767,"Su Butcher",2008-09-11 15:53:57,FALSE,FALSE,"Frinton on Sea, Essex, UK","en","16242432"
"5","RICSnews",3501,783,2718,11469,7166,4303,0.725811267855782,0.893755487836372,0.0685680244330917,1,1.5831493745401,9.15197956577267,"Keep","News","We are an independent body committed to setting and upholding the highest standards of excellence and integrity in land, property and construction. #RICS",18890,83282,5005,14555,"RICS",2009-05-21 14:03:32,FALSE,TRUE,"Global","en","41591452"
"6","angelabradyRIBA",3473,336,3137,4226,810,3416,0.323055054581714,0.917302798982188,0.0110232656877002,0.164643858184675,1.0889384762512,2.41071428571429,"Keep","Individual","Past President @RIBA #Architect #director @BradyMallalieu #PublicSpeaker #GlassArtist @AMBradyDesigns #TVBroadcaster #DesigningIreland @DesignEire",12504,19751,9081,16604,"Angela Brady OBE",2009-08-26 17:37:27,FALSE,FALSE,"London, England","en","69043117"
"7","SustMeme",3270,410,2860,4530,1183,3347,0.477649460801198,0.905352377962643,0.0101822461146798,0.251644876284794,1.17027972027972,2.88536585365854,"Related","Individual","Sustainable Futurist: Editor, Journalist, Speaker, Chair; #Climate + Energy, Built Environment, #Cities, CSR. #Green #Sustainability https://t.co/UgrgfLva55",30912,22643,3765,23552,"Jim McClelland",2009-05-10 17:08:38,FALSE,FALSE,"United Kingdom","en","39077431"
"8","CommunitiesUK",3204,815,2389,6432,3052,3380,0.991828675405466,0.882316948806853,0.0522854271752469,0.440535859842131,1.41481791544579,3.74478527607362,"Keep","Government","Department for Communities and Local Government. We cover housing, planning, devolution & local gov, as well as community issues. Visit: https://t.co/ab1fWPVSPi",16250,101184,529,26994,"DCLG",2008-07-07 10:00:06,FALSE,TRUE,"London","en","15340496"
"9","ecologicalbuild",3116,328,2788,5138,899,4239,0.316289655023669,0.901672659058934,0.0129271683887472,0.164513674957846,1.52044476327116,2.74085365853659,"Keep","Business","Ecological Building Systems has been at the forefront of airtight and windtight building products and natural insulations for over a decade.",8873,14192,5472,13652,"Ecological Building",2009-10-19 20:46:18,FALSE,FALSE,"UK and Ireland","en","83685047"
"10","fmbuilders",2692,526,2166,7383,2335,5048,0.0455091099695148,0.675330757522538,0.0136083768134496,0.501983375322527,2.33056325023084,4.43916349809886,"Keep","Trade","The Federation of Master Builders is the largest trade association in the UK construction industry. We are a source of knowledge, advice & support for builders",7789,19463,677,4671,"FMB: Master Builders",2010-10-13 10:15:55,FALSE,FALSE,"London, United Kingdom   ","en","202117161"
"11","ArchitectsJrnal",2674,664,2010,5463,2583,2880,0.46039446081913,0.864637985309549,0.025770349014052,0.409293673802405,1.43283582089552,3.89006024096386,"Keep","News","The UK’s leading professional architecture magazine. Quick sign up to the AJ daily newsletter: https://t.co/BjJ2xISEqc",48652,250704,618,64601,"Architects’ Journal",2009-03-16 15:19:47,FALSE,TRUE,"United Kingdom","en-gb","24706309"
"12","UKGBC",2669,752,1917,9115,3442,5673,0.048956996846642,0.675330757522538,0.0229365770533832,0.592919976929529,2.95931142410016,4.57712765957447,"Keep","Business","UK Green Building Council | Together for a better built environment",11748,35861,885,3309,"UKGreenBldgCouncil",2009-12-10 17:21:03,FALSE,FALSE,"London, UK","en","95943830"
"13","passivhausnews",2617,291,2326,5799,1358,4441,0.171726755680691,0.871035940803383,0.0243566150303746,0.224278110437243,1.90928632846088,4.66666666666667,"Keep","News","Products and technical support for Passivhaus and low energy buildings inc @GBSWindowsDoors & MVHR design. FREE Passivhaus & retrofit technical resources.",14792,9593,2424,6568,"Green Building Store",2010-11-30 13:14:37,FALSE,FALSE,"Huddersfield, England","en","221361749"
"14","lizmale",2487,547,1940,4202,1453,2749,0.362391661220185,0.8579928599762,0.0130556516266143,0.272357568814553,1.41701030927835,2.6563071297989,"Keep","Individual","Mostly tweeting on property, construction & sustainability in built environment. Corporate reputation & PR, facilitator, non exec director. Views all mine etc.",16410,10957,4211,4283,"Liz Male MBE",2008-11-02 14:27:43,FALSE,FALSE,"Olney, Bucks","en","17114781"
"15","Chris_Goulden",2333,111,2222,4015,383,3632,0.0579579442179057,0.80129659643436,0.0996782709287616,0.092548176577878,1.63456345634563,3.45045045045045,"Keep","Individual","Poverty policy & research for Joseph Rowntree Foundation @jrf_uk #solveukpoverty #socialresearch #ukpoverty Member of @the_SSAC",23757,11770,1768,6119,"Chris Goulden (JRF)",2008-08-27 12:36:39,FALSE,TRUE,"York, UK","en","16010896"
"16","CITB_UK",2190,656,1534,7905,3035,4870,0.0493458466834361,0.659451219512195,0.0124378704935936,0.742536322418175,3.17470664928292,4.6265243902439,"Keep","Business","The Sector Skills Council and Industry Training Board for the construction industry, delivering a safe, professional and fully qualified workforce.",5415,37862,2180,7363,"CITB",2009-05-13 20:21:20,FALSE,TRUE,"UK","en","39824724"
"17","Ecobuild_Now",2169,631,1538,3953,1778,2175,0.347690566176706,0.845913179507235,0.0124895947352571,0.317368097849739,1.41417425227568,2.81774960380349,"Keep","Trade","#ecobuild is the future of design, construction and the built environment. Our next event at ExCeL London takes place on 06-08 March 2018.",12694,29702,4657,2688,"ecobuild",2011-08-08 08:48:53,FALSE,FALSE,"London","en","350772170"
"18","phplusmag",2164,284,1880,4011,1048,2963,0.180499768539512,0.858163062884348,0.0138166488293105,0.221317433806346,1.57606382978723,3.69014084507042,"Keep","News","Passive House Plus is an award-winning green building mag with Irish & UK editions, with an emphasis on evidence-based construction",9672,13439,1022,10450,"Passive House Plus",2009-04-02 12:45:41,FALSE,FALSE,"Ireland","en","28330309"
"19","BDonline",2076,496,1580,3028,1098,1930,0.275934578991576,0.849192717279286,0.0102924108345441,0.241310256473484,1.22151898734177,2.21370967741935,"Keep","News","Stay in touch with BDonline on Twitter for the latest #architecture news and comments from the architect’s favourite. See @BD4jobs for career opportunities.",24276,87206,43180,17938,"Building Design",2008-10-31 16:14:53,FALSE,FALSE,"","en","17087304"
"20","SustHomes",2047,474,1573,4077,2064,2013,0.271525870386905,0.848484848484849,0.0231163759263962,0.278268523982898,1.27972027972028,4.35443037974684,"Keep","Business","Delivering benchmarking and accreditation, consultancy, events, training, research,  advocacy and lobbying to achieve more sustainable homes across the UK",11852,12991,847,2751,"Sustainable Homes",2010-04-19 12:19:39,FALSE,TRUE,"UK","en","134778220"
"21","TheGreenParty",2038,275,1763,3948,889,3059,0.221428433093905,0.845871828713888,0.0171394795391659,0.159050320009498,1.73511060692002,3.23272727272727,"Government","Government","Help us build a confident & caring country. Follow our Co-Leaders: @jon_bartley & @carolinelucas. https://t.co/hZ3sOIlF97",27555,213383,2055,14104,"Green Party",2008-07-22 12:14:21,FALSE,TRUE,"England and Wales","en","15529670"
"22","UKConstruction",2036,450,1586,3189,543,2646,0.282507951532495,0.847238542890717,0.00426840180296096,0.144769781420846,1.66834804539723,1.20666666666667,"Related","News","UK Construction on Twitter: I follow UK Construction People. Owned/tweeted by @subutcher",9719,60050,97,5511,"UK Construction",2009-03-01 21:16:13,FALSE,FALSE,"UK","en","22407719"
"23","EnergyBillRev",1972,281,1691,3784,1754,2030,0.154035164047661,0.855363321799308,0.00990529352186692,0.266084145299392,1.20047309284447,6.24199288256228,"Keep","Charity","Was an alliance of 200 charities, businesses and NGOs, with MPs and the public calling for insulating cold homes to be a national infrastructure priority",13172,5471,5433,5369,"EnergyBillRevolution",2012-02-20 20:02:01,FALSE,FALSE,"Great Britain","en","498200574"
"24","housingday",1956,223,1733,4182,498,3684,0.098149068260649,0.825887743413517,0.0177730624162676,0.121263726112133,2.12579342181189,2.23318385650224,"Keep","Web Only","#HousingDay 18.09.17 celebrates positive impact of social housing on thousands of people across the UK. Stories by #ukhousing landlords, staff & #proudtenant",14041,7280,4139,6380,"#HousingDay",2013-11-12 17:30:39,FALSE,FALSE,"United Kingdom","en","2190746059"
"25","atkinsglobal",1951,311,1640,2428,622,1806,0.17231975521229,0.843562618827085,0.00418962054709555,0.162229128931421,1.10121951219512,2,"Related","Business","Official account of Atkins, member of @SNCLavalin, one of the world’s most respected design, engineering and project management consultancies.",14440,40419,4556,5069,"Atkins",2010-09-06 08:28:54,FALSE,TRUE,"","en","187457899"
"26","jreynoldsMP",1936,211,1725,3083,410,2673,0.13954761660478,0.814382530120482,0.00704371781145275,0.103087042532214,1.5495652173913,1.94312796208531,"Government","Individual","Labour/Co-Op MP for Stalybridge, Hyde, Mossley, Longdendale & Dukinfield, and Shadow Economic Sec to the Treasury (City Minister) in @labourtreasury",27840,29507,22682,6953,"Jonathan Reynolds",2009-01-05 14:37:38,FALSE,TRUE,"Stalybridge","en","18632946"
"27","constructline",1900,281,1619,2132,480,1652,0.188710562188267,0.857610150170987,0.00274567132534411,0.149839517906401,1.02038295243978,1.70818505338078,"Related","Business","UK’s largest procurement and supply chain management service for the construction industry. Set up to make the supplier assessment process less painful.",10577,20942,1248,5499,"Constructionline",2009-09-10 21:56:30,FALSE,FALSE,"UK","en","73231683"
"28","eaglesandrew",1887,297,1590,2746,611,2135,0.161441148549845,0.844468303157484,0.01153553496306,0.129957196021456,1.34276729559748,2.05723905723906,"Related","Individual","https://t.co/Wqeh69nSEi . Innovating and campaigning for better places and a brighter future.",15641,3672,1001,3189,"Andrew Eagles",2009-06-23 11:54:39,FALSE,FALSE,"Auckland, New Zealand","en","49955092"
"29","Policy_Exchange",1877,296,1581,2487,456,2031,0.150126712287228,0.775616315553563,0.0126234427081393,0.114703640097585,1.28462998102467,1.54054054054054,"Government","Government","Leading UK think tank. Shaping the policy agenda since 2002. https://t.co/JhGRvzscWH",13880,39025,419,3826,"Policy Exchange",2010-07-26 09:19:19,FALSE,FALSE,"Westminster, London","en","171000782"
