"","int_clus.from","int_intext","int_friends.weight","int_likes.weight","int_mentions.weight","int_retweets.weight","int_all.weight","int_friends.degree","int_likes.degree","int_mentions.degree","int_retweets.degree","int_all.degree","ext_intext","ext_friends.weight","ext_likes.weight","ext_mentions.weight","ext_retweets.weight","ext_all.weight","ext_friends.degree","ext_likes.degree","ext_mentions.degree","ext_retweets.degree","ext_all.degree","rat_friends.weight","rat_likes.weight","rat_mentions.weight","rat_retweets.weight","rat_all.weight","rat_friends.degree","rat_likes.degree","rat_mentions.degree","rat_retweets.degree","rat_all.degree","accounts","maxconnections","density"
"1",1,"internal",146576,194464,787012,787012,787012,146478,38485,163866,163866,163866,"external",90324,68606,337939,337939,337939,90277,18947,102755,102755,102755,1.62278021345379,2.83450427076349,2.32885816671056,2.32885816671056,2.32885816671056,1.62253951726353,2.03119227318309,1.5947253175028,1.5947253175028,1.5947253175028,2272,5159712,0.0317587493255438
"2",2,"internal",79121,121152,499528,499528,499528,79121,32546,104406,104406,104406,"external",46535,65889,198295,198295,198295,46535,23564,68677,68677,68677,1.70024712581928,1.83872877111506,2.51911545929045,2.51911545929045,2.51911545929045,1.70024712581928,1.38117467323035,1.52024695312841,1.52024695312841,1.52024695312841,3507,12295542,0.00849137028688935
"3",3,"internal",163373,292105,1035266,1035266,1035266,163373,56435,183728,183728,183728,"external",39789,36033,176852,176852,176852,39789,9950,46228,46228,46228,4.10598406594788,8.10659673077457,5.85385520095899,5.85385520095899,5.85385520095899,4.10598406594788,5.67185929648241,3.9743878169075,3.9743878169075,3.9743878169075,1401,1961400,0.0936718670337514
"4",4,"internal",92693,119199,495606,495606,495606,91836,27161,102878,102878,102878,"external",46708,29318,161924,161924,161924,46365,9733,53859,53859,53859,1.98452085295881,4.06572753939559,3.06073219535091,3.06073219535091,3.06073219535091,1.98071821417017,2.79060926744067,1.91013572476281,1.91013572476281,1.91013572476281,1496,2236520,0.0459991415234382
"5",5,"internal",55527,105232,374856,374856,374856,55527,23160,64388,64388,64388,"external",36566,31601,140587,140587,140587,36566,10261,44071,44071,44071,1.51854181480063,3.3300212018607,2.66636317724967,2.66636317724967,2.66636317724967,1.51854181480063,2.25708995224637,1.46100610378707,1.46100610378707,1.46100610378707,931,865830,0.0743656375962949
"6",6,"internal",76988,203160,799647,799647,799647,76587,26565,87104,87104,87104,"external",21091,19642,74950,74950,74950,21050,4348,24383,24383,24383,3.6502773694941,10.3431422462071,10.6690727151434,10.6690727151434,10.6690727151434,3.63833729216152,6.10970561177553,3.57232498051921,3.57232498051921,3.57232498051921,861,740460,0.117634983658807
"7",7,"internal",31974,48021,189428,189428,189428,31939,10527,35426,35426,35426,"external",30290,21396,104730,104730,104730,30185,6274,33372,33372,33372,1.05559590623968,2.24439147504206,1.80872720328464,1.80872720328464,1.80872720328464,1.05810833195296,1.67787695250239,1.0615486036198,1.0615486036198,1.0615486036198,672,450912,0.0785652189340714
"8",8,"internal",25591,38476,165843,165843,165843,25591,6654,29298,29298,29298,"external",10645,10739,54230,54230,54230,10645,3586,13781,13781,13781,2.40403945514326,3.5828289412422,3.0581412502305,3.0581412502305,3.0581412502305,2.40403945514326,1.85554935861684,2.1259705391481,2.1259705391481,2.1259705391481,608,369056,0.0793863261943987
"9",9,"internal",17264,39879,130505,130505,130505,17156,5427,19398,19398,19398,"external",17816,15212,66451,66451,66451,17674,4593,21261,21261,21261,0.9690166142793,2.62154877728109,1.96392830807663,1.96392830807663,1.96392830807663,0.970691411112368,1.18158066623122,0.912374770706928,0.912374770706928,0.912374770706928,510,259590,0.0747255287183636
"10",10,"internal",23190,52740,195451,195451,195451,23190,6950,25300,25300,25300,"external",8583,5922,22693,22693,22693,8583,1390,9323,9323,9323,2.70185249912618,8.90577507598784,8.61283215088353,8.61283215088353,8.61283215088353,2.70185249912618,5,2.71371876005578,2.71371876005578,2.71371876005578,343,117306,0.215675242528089
"11",11,"internal",12354,12625,51010,51010,51010,12331,3976,15010,15010,15010,"external",8368,4440,37408,37408,37408,8339,1754,11377,11377,11377,1.47633843212237,2.84346846846847,1.3636120615911,1.3636120615911,1.3636120615911,1.47871447415757,2.26681870011403,1.31932846971961,1.31932846971961,1.31932846971961,269,72092,0.208206180990956
"12",12,"internal",4965,17917,51766,51766,51766,4965,2804,5618,5618,5618,"external",6838,9537,32135,32135,32135,6838,2626,7963,7963,7963,0.726089499853758,1.87868302401174,1.61089155126809,1.61089155126809,1.61089155126809,0.726089499853758,1.06778370144707,0.705512997613965,0.705512997613965,0.705512997613965,263,68906,0.0815313615650306
"13",13,"internal",3888,11199,44596,44596,44596,3888,1788,4632,4632,4632,"external",8932,6951,37262,37262,37262,8932,2380,10978,10978,10978,0.435288849081953,1.61113508847648,1.19682250013419,1.19682250013419,1.19682250013419,0.435288849081953,0.751260504201681,0.421934778648205,0.421934778648205,0.421934778648205,212,44732,0.103550031297505
"14",14,"internal",4126,6520,33078,33078,33078,4126,1402,4546,4546,4546,"external",10061,8709,45610,45610,45610,10061,2509,11465,11465,11465,0.410098399761455,0.748650820989781,0.72523569392677,0.72523569392677,0.72523569392677,0.410098399761455,0.55878836189717,0.396511120802442,0.396511120802442,0.396511120802442,152,22952,0.198065528058557
"15",15,"internal",3167,8859,35499,35499,35499,3167,1535,4034,4034,4034,"external",4686,6499,26832,26832,26832,4686,1696,6059,6059,6059,0.675842936406317,1.36313278965995,1.32300983899821,1.32300983899821,1.32300983899821,0.675842936406317,0.905070754716981,0.665786433404852,0.665786433404852,0.665786433404852,191,36290,0.111160099200882
"16",16,"internal",1738,7318,27217,27217,27217,1738,975,2012,2012,2012,"external",3717,4439,18144,18144,18144,3717,1401,4795,4795,4795,0.46758138283562,1.6485694976346,1.50005511463845,1.50005511463845,1.50005511463845,0.46758138283562,0.69593147751606,0.419603753910323,0.419603753910323,0.419603753910323,94,8742,0.230153283001601
