"","clus","order","edges","diameter.all","diameter.retweets","diameter.friends","diameter.mentions","diameter.likes","radius.all","radius.retweets","radius.friends","radius.mentions","radius.likes","girth.all","girth.retweets","girth.friends","girth.mentions","girth.likes","density.all","density.retweets","density.friends","density.mentions","density.likes"
"1",1,2272,163866,5,9,5,8,8,3,0,3,0,0,3,3,3,3,3,0.0317587493255438,0.00599936585607879,0.0283887937931419,0.00840085648191217,0.00745874963563858
"2",2,3507,104406,8,9,8,9,8,0,0,0,0,0,3,3,3,3,3,0.00849137028688935,0.00175909284844865,0.00643493389717997,0.00236719942886617,0.00264697562742659
"3",3,1401,183728,4,7,4,6,6,2,0,2,0,0,3,3,3,3,3,0.0936718670337514,0.0175889670643418,0.0832940756602427,0.0287345773427144,0.0287728153359845
"4",4,1496,102878,5,9,5,8,7,3,0,3,0,0,3,3,3,3,3,0.0459991415234382,0.00996279934898861,0.0410620070466618,0.0128494267880457,0.0121443134870245
"5",5,931,64388,4,7,5,6,6,3,0,3,0,0,3,3,3,3,3,0.0743656375962949,0.0176177771617985,0.0641315269741173,0.0260351339177437,0.0267488998995184
"6",6,861,87104,4,8,4,6,6,3,0,3,0,0,3,3,3,3,3,0.117634983658807,0.022939794181995,0.103431650595576,0.0374631985522513,0.0358763471355644
"7",7,672,35426,4,8,4,8,6,2,0,2,0,0,3,3,3,3,3,0.0785652189340714,0.0188351607408984,0.0708320026967568,0.0247587112341211,0.023346018735363
"8",8,608,29298,5,7,5,7,9,3,0,3,0,0,3,3,3,3,3,0.0793863261943987,0.014130646839504,0.0693417801092517,0.0221917540969392,0.0180297840978063
"9",9,510,19398,5,8,5,7,7,3,0,3,0,0,3,3,3,3,3,0.0747255287183636,0.0162332909588197,0.0660888323895373,0.0220424515582264,0.0209060441465388
"10",10,343,25300,4,6,4,5,5,2,0,2,0,0,3,3,3,3,3,0.215675242528089,0.0376707073806966,0.197688097795509,0.0658193101802124,0.0592467563466489
"11",11,269,15010,4,6,4,6,6,2,0,2,0,0,3,3,3,3,3,0.208206180990956,0.0398379847972036,0.171045330965988,0.0507407201908672,0.0551517505409754
"12",12,263,5618,4,5,4,6,5,2,0,2,0,0,3,3,3,3,3,0.0815313615650306,0.0202739964589441,0.0720546831915943,0.0263257190955795,0.0406931181609729
"13",13,212,4632,5,7,5,6,6,3,0,3,0,0,3,3,3,3,3,0.103550031297505,0.0300679602968792,0.0869176428507556,0.043168201734776,0.0399713851381561
"14",14,152,4546,4,7,4,6,7,2,0,2,0,0,3,3,3,3,3,0.198065528058557,0.0579470198675497,0.179766469153015,0.0700592540955037,0.061084001394214
"15",15,191,4034,4,6,4,6,7,3,0,3,0,0,3,3,3,3,3,0.111160099200882,0.0323780655828052,0.087269220170846,0.0464866354367594,0.0422981537613668
"16",16,94,2012,5,5,5,5,6,3,0,3,0,0,3,3,3,3,3,0.230153283001601,0.099290780141844,0.198810340883093,0.118965911690689,0.111530542210021
"17",17,95,1622,5,5,5,6,6,3,0,3,0,0,3,3,3,3,3,0.181634938409854,0.0606942889137738,0.160022396416573,0.0652855543113102,0.0790593505039194
"18",18,78,1336,4,4,4,4,4,2,0,2,0,0,3,3,3,3,3,0.222444222444222,0.0670995670995671,0.204462204462204,0.0642690642690643,0.110556110556111
"19",19,139,1118,5,5,5,5,6,3,0,3,0,0,3,3,3,3,3,0.0582838077364196,0.0151704723177979,0.0422270878949015,0.0176206860598478,0.0235637576895006
"20",20,80,1336,4,8,4,8,6,2,0,2,0,0,3,3,3,3,3,0.211392405063291,0.0370253164556962,0.200632911392405,0.0223101265822785,0.0723101265822785
"21",21,78,1076,4,6,4,5,4,2,0,2,0,0,3,3,3,3,3,0.179154179154179,0.0481185481185481,0.144855144855145,0.0689310689310689,0.104728604728605
"22",22,61,962,5,5,5,6,7,3,0,3,0,0,3,3,3,3,3,0.262841530054645,0.0718579234972678,0.238524590163934,0.0950819672131148,0.121857923497268
"23",23,68,606,3,4,4,5,4,2,0,2,0,0,3,3,3,3,3,0.133011413520632,0.0423617208077261,0.116769095697981,0.0542142230026339,0.0566286215978929
"24",24,68,1204,4,6,5,5,5,2,0,2,0,0,3,3,3,3,3,0.264266900790167,0.0697980684811238,0.206321334503951,0.0970149253731343,0.106892010535558
"25",25,66,670,5,8,4,6,7,3,0,3,0,0,3,3,3,3,3,0.156177156177156,0.0494172494172494,0.133566433566434,0.0596736596736597,0.0615384615384615
"26",26,55,626,4,5,4,6,6,2,0,2,0,0,3,3,3,3,3,0.210774410774411,0.0427609427609428,0.157575757575758,0.0491582491582492,0.0791245791245791
"27",27,15963,1371896,7,11,7,9,9,4,0,0,0,0,3,3,3,3,3,0.00538417751117119,0.00103097154809263,0.00457767097250633,0.00149527432356476,0.00145721330909767
