"","clusNo","accounts","keywords","members","colours"
"1",1,"natfednews CIHhousing tomemurtha Alison_Inman 24housing insidehousing TimMorton2 Simplicitly petebond7 adclarkie","housing ukhousing homes home cihhousing london tenants natfednews residents house",1154,"green4"
"2",2,"RIBA ArchitectsJrnal nlalondon BDonline angelabradyRIBA LFArchitecture russellcurtis DbrayArchi RIBANorthWest Furmadamadam","architecture design riba london architects house building housing architect awards",897,"lemonchiffon2"
"3",3,"pbplumber Installermag VietecHeating HeatingConsult GasSafePete plumberparts vaillantuk reddyplumbing Alonlineni daleyplumbing","gas heating boiler pbplumber plumbing gasmangod vaillantuk irbheating installermag home",776,"khaki4"
"4",4,"UNFCCC EcoWatch WMBtweets ClimateGroup CDP c40cities UNEP AllanMargolin Sustainia IRENA","energy change trump de climatechange la cities un sustainable w",306,"gold"
"5",5,"ElrondBurrell PassivhausTrust JurajMikurcik ecominimalnick SofiePelsmakers passivhausnews ecologicalbuild phplusmag PassiveHouseBB AECBnet","passivhaus house energy passive building passivehouse design elrondburrell buildings home",508,"seashell1"
"6",6,"DrSimEvans CarbonBrief theCCCuk DECCgovuk CleanAirLondon BusinessGreen ELPinchbeck LeoHickman crisortunity AldersgateGrp","energy change carbon eu brexit gas emissions climatechange trump renewables",267,"dodgerblue4"
"7",7,"SolidorLtd fitshow glazingblogger mcdermottwindow SpectusWindows residence9 silikaltd Atlasroofjohn hertfordglass bosworthglass","windows doors door window fitshow home glazing solidorltd conservatory products",338,"deeppink2"
"8",8,"TheNFRC wienerbergeruk BarbourNews RCIMag WilliamsLivia RoofingToday KirHammond ArchitectsDF singleply TheNHIC","roofing construction roof building london home insulation thenfrc products training",395,"firebrick2"
"9",9,"SuButcher TheB1M ThePhilpster DRossiter87 DigiConWeek EEPaul ClassofYourOwn djhreed67 PaulSurin pambhandal","bim construction london design building bondbryanbim revit d autodesk architecture",234,"darkgoldenrod2"
"10",10,"RICSnews amanda_clack PropertyDanH RICSchiefexec kathf48 f1ekg RICSNorth RICSWales CamSparkle ricsamericas","ricsnews rics construction london building amandaclack de proptech house surveying",381,"darkviolet"
"11",11,"Dorian_Belvoir katefaulkner LandlordRef landlordtweets stephenbrown54 NoLettingGo JustLandlords BelvoirFranch EstateAppsUK MauriceKilbride","landlords landlord london house home rent housing tenants agents letting",240,"burlywood4"
"12",12,"EstatesGazette JLLUK aknotay LandAid MIPIMWorld PropertyWeek Savills AshleyPerryUK matlown Propertyshe","london housing m estatesgazette retail house homes mipim home savills",159,"aquamarine1"
"13",13,"ikoplc bmf_merchants AndyWilliamso12 KnaufUK TheBMBI BMerchantsNews mike_tattam WCoBM AlumascWMS PBMmagazine","construction building home products bmfmerchants ikoplc trade awards builders job",229,"beige"
"14",14,"HenryPryor RichardBlyth7 joesarling createstreets LondonYIMBY tobylloyd michaellondonsf resi_analyst danc00ks0n ResiRichard","housing london brexit homes house labour eu ft land prices",127,"darkorange1"
"15",15,"edie MunishDatta planamikebarry AshdenAwards 2degreesnetwork Forum4theFuture futerra InterfaceInc GuardianSustBiz GreenSolitaire","sustainability energy change sustainable london carbon csr edie companies design",119,"cornsilk1"
