name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
jrf_uk,11103,4246,6857,18471.5,10756.7,7714.8,424361.3028,
natfednews,6947,2997,3950,22612,15581.8,7030.2,45547.95361,
angelabradyRIBA,5307,1717,3590,7637.4,3424.9,4212.5,157407.5508,
SuButcher,5659,2112,3547,8858.4,4939.2,3919.2,913968.2957,
RIBA,7784,4353,3431,29016.5,23844.4,5172.1,856886.9771,
SustMeme,5156,1841,3315,7534.1,3583.6,3950.5,293039.6729,
wallbarn,3841,600,3241,4194.4,652.7,3541.7,9697.419919,
RICSnews,7174,3955,3219,19449.4,15327.9,4121.5,1113111.257,
ecologicalbuild,4360,1429,2931,9105.7,3381.6,5724.1,29251.95695,
Chris_Goulden,3989,1150,2839,4597.2,1340.9,3256.3,345359.1703,
Britanniacomms,3181,403,2778,3610.6,638.2,2972.4,431415.9192,Junk
Wood_for_Good,3445,705,2740,6310.8,1378.9,4931.9,110416.3426,
CommunitiesUK,7268,4561,2707,10645,7813,2832,812438.2812,
AltitudeAlu,3114,431,2683,3836.8,605.9,3230.9,51581.23381,
passivhausnews,3935,1340,2595,9124.3,3616.6,5507.7,18582.63061,
KirHammond,3945,1361,2584,5487.7,2167.2,3320.5,61007.27339,
tradeshour,3109,586,2523,3111.3,584.4,2526.9,48659.53978,
jamestplunkett,3296,798,2498,3534,911.5,2622.5,67779.65379,
urban_splash,4283,1818,2465,5317.1,2561.3,2755.8,157215.4812,
faisalislam,5163,2820,2343,6462.1,4077.7,2384.4,326984.6829,Junk
ArchitectsJrnal,5985,3652,2333,16039.9,12848.2,3191.7,503877.0534,
mattwarman,2759,459,2300,2750.9,436.2,2314.7,69769.20045,
AaronPorter,2795,509,2286,2886.6,513.4,2373.2,33123.33331,Junk
PeoplesNHS,2704,425,2279,2868.8,395.5,2473.3,53330.47681,Junk
PollyBillington,2810,617,2193,3623.9,757.7,2866.2,78242.76402,Government
HousingITguy,3684,1535,2149,7590.8,4048.3,3542.5,190297.1474,
GabeHuntley,2711,585,2126,2866,582.5,2283.5,48376.5431,Junk
martinhilditch,3537,1470,2067,4843.7,1922.5,2921.2,7529.821125,
indy_johar,2936,875,2061,3584.7,1297.8,2286.9,268838.6357,
gsoh31,2629,595,2034,2771.1,596.5,2174.6,90534.78321,
phplusmag,3211,1187,2024,6595.4,3445.7,3149.7,52457.62206,
fmbuilders,3928,1918,2010,8320.7,5510.8,2809.9,48011.11832,
Emmabarnett,2964,972,1992,3073.6,976.6,2097,204494.2593,
wesstreeting,3369,1378,1991,3838.6,1628.3,2210.3,230829.2627,
housingday,3253,1271,1982,7619.6,2862.1,4757.5,1281.951682,
USGBC,2887,921,1966,4395.6,1996.1,2399.5,28433.49194,
livingarchitect,2324,375,1949,2635.6,621.7,2013.9,71565.89111,
AndyJackson_UK,2724,776,1948,2755.5,777.3,1978.2,54629.19847,
lizmale,3766,1825,1941,6025,3183.2,2841.8,618053.8918,
SocEntScot,2330,393,1937,2559.7,449.3,2110.4,12116.14313,
OliBarrett,2413,495,1918,2575,544,2031,246461.7214,
ImmyKaur,2501,585,1916,3038.1,877.2,2160.9,185783.9138,
paulwaugh,4363,2455,1908,4996.2,3025.6,1970.6,226204.195,Junk
MartinBelam,2703,802,1901,2724.7,701.8,2022.9,181568.6565,
MorphetMinor,2369,477,1892,3807.3,939.5,2867.8,80705.59671,
LivingWageUK,2921,1031,1890,3834.3,1726.2,2108.1,832590.9436,Junk
App4EngAwards,2536,652,1884,2648.7,708.3,1940.4,84458.95569,
brandyorkshire,2314,433,1881,2385.3,466.2,1919.1,39155.79435,
gatesheadhc,2677,797,1880,2769.1,818,1951.1,15926.82223,
ShapeArchitect,2584,722,1862,2870.8,769.6,2101.2,5515.318576,
BDonline,4492,2637,1855,7699.4,4912,2787.4,349322.5538,
electoralreform,2545,698,1847,2642,754.5,1887.5,139324.3508,
