"","Construction","Politics 1","Housing","Environmental","Architecture","Heating & Plumbing","Passive house","Skills & Apprenticeships","Property Management","Windows & Doors","Politics 2","RICS","Engineering","Urban Planning","Scotland","Flooding","Heritage","Building Control","Management","CITB & Skills","Wales","New Urbanism","CIBSE","Facilities Management","Health & Safety","Livery Companies"
"Construction",0.102441100869366,0.0443699868006904,0.0978611783696529,0.0790760869565217,0.122152050523623,0.0484105799563213,0.114876033057851,0.211933485490708,0.0672645739910314,0.110929557007988,0.0645161290322581,0.104859335038363,0.141567963902989,0.0396744659206511,0.1082910321489,0.162251655629139,0.160975609756098,0.162927981109799,0.0777096114519427,0.242966751918159,0.167840375586854,NA,0.129186602870813,0.0719002201027146,0.0838607594936709,0.0798969072164948
"Politics 1",0.0257740585774059,0.0107662928721051,0.0199249311462624,0.0305393802864794,0.0229572095955977,0.0275194534067185,0.0191132696224346,0.0826792255363684,0.022647169103862,NA,0.0110814981063263,0.0169288986257718,0.0236879989530166,0.0243058558948188,0.00975149418055992,0.0955758189800743,0.0160717622874229,NA,NA,NA,0.0161773517076093,0.0264550264550265,NA,NA,0.0202469135802469,0.0154894671623296
"Housing",0.0609492988133765,0.0423248583320796,0.0380043972029822,0.10958904109589,0.0477558348294434,0.127450980392157,0.0744891232696111,0.152582159624413,0.0910190504989416,NA,0.322259136212625,0.068445475638051,0.0601092896174863,0.0586319218241042,0.0672823218997362,NA,NA,0.0953947368421053,NA,NA,0.0376106194690266,NA,NA,NA,0.103225806451613,NA
"Environmental",0.0749203388513251,0.0454292084726867,0.0440497335701599,0.119305534096696,0.0646888244479143,0.145966029723992,0.099470978317562,0.115323854660348,0.0538585209003215,0.251322751322751,0.0584958217270195,0.0550098231827112,0.116894197952218,0.0516002612671457,0.0733576642335766,0.1225614927905,NA,NA,NA,NA,0.0850515463917526,0.0582120582120582,0.160664819944598,NA,NA,NA
"Architecture",0.168498783250818,0.0440553200981486,0.0589812332439678,0.0766436614602252,0.142470559824993,0.104504504504505,0.151270088128564,0.0705882352941176,0.0724881995954147,NA,NA,0.0890736342042755,0.0975609756097561,0.0592025775271849,0.102870813397129,NA,0.0894002263296869,NA,NA,NA,0.143344709897611,0.0874704491725768,0.110169491525424,0.143769968051118,NA,NA
"Heating & Plumbing",0.071986836692719,0.0860745614035088,0.178571428571429,0.134491634491634,0.148571428571429,0.0652288345195088,0.105960264900662,0.303547963206308,0.117647058823529,0.116751269035533,NA,NA,0.117283950617284,NA,NA,0.0726495726495727,NA,NA,NA,NA,NA,NA,0.132183908045977,NA,0.303191489361702,NA
"Passive house",0.140541976620616,0.0652173913043478,0.0767295597484277,0.0983810709838107,0.100608519269777,0.108614232209738,0.116840441215652,NA,0.0676328502415459,0.27810650887574,NA,0.105820105820106,0.148571428571429,0.0841584158415842,0.117021276595745,NA,0.157894736842105,NA,NA,NA,NA,0.0845070422535211,0.123978201634877,NA,NA,NA
"Skills & Apprenticeships",0.337288563494067,0.148447420062334,0.220940550133097,0.197368421052632,0.431297709923664,0.278787878787879,NA,0.20175810618036,NA,NA,0.205128205128205,NA,0.337899543378995,NA,0.135458167330677,NA,NA,NA,NA,NA,0.185365853658537,NA,NA,NA,NA,NA
"Property Management",0.058996138996139,0.0419127988748242,0.0731414868105516,0.0724980299448384,0.0539568345323741,0.1792,0.0639269406392694,NA,0.0849888121412589,NA,0.0394736842105263,0.082930200414651,NA,0.0726172465960666,0.212938005390836,NA,NA,NA,NA,NA,0.0403587443946188,NA,NA,0.0451745379876797,NA,NA
"Windows & Doors",0.280851063829787,0.0447058823529412,NA,0.357142857142857,0.16260162601626,0.113960113960114,0.142857142857143,NA,0.107692307692308,0.197850609756098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Politics 2",0.0594214229867084,0.0122218740206832,0.0878681977034448,0.0434279096699479,NA,NA,NA,0.285887341005451,NA,NA,0.0212280209877038,NA,0.0753880266075388,NA,NA,0.166233766233766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICS",0.246696866742167,0.11214953271028,0.209713024282561,0.170212765957447,0.238317757009346,NA,NA,NA,0.279713114754098,NA,NA,0.313446557313592,0.128491620111732,0.166666666666667,0.314432989690722,NA,NA,NA,NA,NA,0.373382624768946,NA,NA,0.303724928366762,NA,NA
"Engineering",0.205418609815678,0.0422885572139304,NA,0.069558421258304,0.103597122302158,0.166240409207161,0.116822429906542,0.158289572393098,NA,NA,0.0801393728222996,NA,0.146683369124314,NA,NA,0.128865979381443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urban Planning",0.0603700097370983,0.0590872045639772,0.0589887640449438,0.0564102564102564,0.0554029304029304,NA,0.0720720720720721,NA,0.0878136200716846,NA,NA,0.0688073394495413,NA,0.0303030303030303,0.041002277904328,NA,0.110552763819095,NA,NA,NA,NA,0.0210526315789474,NA,NA,NA,NA
"Scotland",0.125827814569536,0.0151199165797706,0.0581771170006464,0.0716981132075472,0.0590858416945373,NA,NA,0.18974358974359,0.0724299065420561,NA,0.0134529147982063,NA,NA,0.0522151898734177,0.0242125562459824,NA,0.0588235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flooding",0.25754060324826,0.158861885002964,NA,0.0967007963594994,NA,0.0390015600624025,NA,NA,NA,NA,0.136752136752137,NA,0.0888888888888889,NA,NA,0.250298210735587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heritage",0.082306338028169,0.0207373271889401,NA,NA,0.0902117213869285,NA,0.0783410138248848,NA,NA,NA,NA,NA,NA,0.0711610486891386,0.0754257907542579,NA,0.087637419622485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Building Control",0.241042345276873,0.0853080568720379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241339107261825,NA,NA,NA,NA,NA,NA,NA,NA
"Management",0.0417910447761194,0.0260047281323877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315611497275972,NA,NA,NA,NA,NA,NA,NA
"CITB & Skills",0.40463645943098,NA,0.306930693069307,NA,NA,NA,NA,0.417647058823529,NA,NA,NA,NA,NA,NA,0.404624277456647,NA,NA,NA,NA,0.429805615550756,0.393939393939394,NA,NA,NA,NA,NA
"Wales",0.113312693498452,0.0165745856353591,0.024364406779661,0.0418502202643172,0.0994318181818182,NA,NA,0.127314814814815,0.0251572327044025,NA,NA,0.246527777777778,NA,NA,NA,NA,NA,NA,NA,0.201550387596899,0.0800385728061716,NA,NA,NA,NA,NA
"New Urbanism",NA,0.0264105642256903,NA,0.0493224932249322,0.0553985302430752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0522718134298351,NA,NA,NA,NA
"CIBSE",0.150684931506849,NA,NA,0.221875,0.173770491803279,0.12109375,0.150815217391304,NA,NA,NA,NA,NA,0.357894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124753451676529,NA,NA,NA
"Facilities Management",0.0430672268907563,NA,0.0253164556962025,0.118343195266272,0.0251572327044025,NA,NA,NA,0.051948051948052,NA,NA,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.018640350877193,NA,NA
