"","Construction","Politics 1","Housing","Environmental","Architecture","Heating & Plumbing","Passive house","Skills & Apprenticeships","Property Management","Windows & Doors","Politics 2","RICS","Engineering","Urban Planning","Scotland","Flooding","Heritage","Building Control","Management","CITB & Skills","Wales","New Urbanism","CIBSE","Facilities Management","Health & Safety","Livery Companies"
"Construction",0.0907205168334225,0.0693308126079729,0.0763888888888889,0.0915109399943657,0.155869548215543,0.0377549803173088,0.0796110103840448,0.169308203041336,0.0622610595303113,0.130128597672994,0.0929425376012341,0.117050532829151,0.113475177304965,0.080773606370876,0.0698185816382628,0.132339519318528,0.0805828129646149,0.199667221297837,0.0353159851301115,0.131034482758621,0.136724960254372,NA,0.142857142857143,0.0462264150943396,0.0699424524125719,0.0375722543352601
"Politics 1",0.0466682998530132,0.0106866063541546,0.0313003564627179,0.0471758786365528,0.0391048824593128,0.10397946084724,0.0680907877169559,0.125602700096432,0.0324432960091875,NA,0.0173508366062302,0.0452898550724638,0.0254022015241321,0.0381679389312977,0.0173187940987813,0.1099685204617,0.0192450037009623,NA,NA,NA,0.0125361620057859,0.0337448559670782,NA,NA,0.0191082802547771,0.0332829046898638
"Housing",0.0793913331128018,0.028112037455337,0.0290302052373541,0.0761237312711455,0.0481657100074869,0.300441826215022,0.0579420579420579,0.189384800965018,0.0547734532118774,NA,0.0631404958677686,0.0664136622390892,0.0377952755905512,0.0420168067226891,0.0669144981412639,NA,NA,0.146718146718147,NA,NA,0.0323353293413174,NA,NA,NA,0.0292792792792793,NA
"Environmental",0.0783200908059024,0.0799082448932185,0.0923276983094928,0.11590982924015,0.0858749361049582,0.103846153846154,0.0703244067058567,0.102304147465438,0.088040391290628,0.135416666666667,0.124148851939826,0.145348837209302,0.0993918053777209,0.0553780617678381,0.122536418166238,0.0937270456882621,NA,NA,NA,NA,0.055205047318612,0.1289592760181,0.189922480620155,NA,NA,NA
"Architecture",0.0736626916524702,0.0545915492957747,0.0386018237082067,0.059306752153877,0.118132532608119,0.0892193308550186,0.066030230708035,0.218884120171674,0.0397453212425236,NA,NA,0.143968871595331,0.0752577319587629,0.0396935933147632,0.0846245530393325,NA,0.0625441696113074,NA,NA,NA,0.152610441767068,0.0605786618444846,0.129793510324484,0.046070460704607,NA,NA
"Heating & Plumbing",0.0424764019988895,0.0695944568983085,0.0822831727205337,0.152072192513369,0.122933884297521,0.031978835403586,0.0971428571428571,0.217583299879566,0.0631399317406143,0.0454545454545455,NA,NA,0.0885122410546139,NA,NA,0.0551267916207277,NA,NA,NA,NA,NA,NA,0.195710455764075,NA,0.131868131868132,NA
"Passive house",0.105298507462687,0.0504457050243112,0.0587677725118483,0.0817316663556634,0.0948419301164725,0.107142857142857,0.0641610967042867,NA,0.0611643330876934,0.345991561181435,NA,0.0769230769230769,0.0828947368421053,0.0518518518518519,0.0584269662921348,NA,0.104875804967801,NA,NA,NA,NA,0.068075117370892,0.148698884758364,NA,NA,NA
"Skills & Apprenticeships",0.27969873331051,0.147666216801202,0.252016129032258,0.225134926754048,0.157517899761337,0.307086614173228,NA,0.178585779726984,NA,NA,0.32301013024602,NA,0.225980392156863,NA,0.178666666666667,NA,NA,NA,NA,NA,0.11036036036036,NA,NA,NA,NA,NA
"Property Management",0.0558899398108341,0.0466260709480988,0.0813729271114539,0.0788177339901478,0.0732572877059569,0.283687943262411,0.0543478260869565,NA,0.0697680154903001,NA,0.0542666142351553,0.102621722846442,NA,0.050561797752809,0.150523560209424,NA,NA,NA,NA,NA,0.020979020979021,NA,NA,0.0293040293040293,NA,NA
"Windows & Doors",0.105632209907261,0.138678596008259,NA,0.119854721549637,0.145762711864407,0.128578360019408,0.139931740614334,NA,0.139937106918239,0.143312193854474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Politics 2",0.115681233933162,0.0146646538710373,0.0530164533820841,0.0669291338582677,NA,NA,NA,0.209689629068887,NA,NA,0.019177044367631,NA,0.0616197183098592,NA,NA,0.243099787685775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICS",0.111059262715819,0.0289308176100629,0.162251655629139,0.0856697819314642,0.0706150341685649,NA,NA,NA,0.0944613050075873,NA,NA,0.19481232416112,0.0353697749196141,0.0518518518518519,0.189419795221843,NA,NA,NA,NA,NA,0.269662921348315,NA,NA,0.153439153439153,NA,NA
"Engineering",0.127576054955839,0.0344680168866563,NA,0.113741162004304,0.150943396226415,0.0792079207920792,0.0517241379310345,0.217070600632244,NA,NA,0.0533333333333333,NA,0.0812843160658868,NA,NA,0.05625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urban Planning",0.0426829268292683,0.0348877137559234,0.0578297595841455,0.0330497382198953,0.0517727639000806,NA,0.040650406504065,NA,0.0573022312373225,NA,NA,0.100840336134454,NA,0.0243615701129907,0.0458190148911798,NA,0.0759075907590759,NA,NA,NA,NA,0.0773480662983425,NA,NA,NA,NA
"Scotland",0.227722772277228,0.018126601499478,0.0656634746922025,0.0817369093231162,0.111111111111111,NA,NA,0.164444444444444,0.0985507246376812,NA,0.0126282557221784,NA,NA,0.0362595419847328,0.0309824344602348,NA,0.0692431561996779,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flooding",0.132110091743119,0.183712852180625,NA,0.123234463276836,NA,0.143835616438356,NA,NA,NA,NA,0.27887323943662,NA,0.0853080568720379,NA,NA,0.206639313688922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heritage",0.0463917525773196,0.030314371257485,NA,NA,0.065717873587275,NA,0.080952380952381,NA,NA,NA,NA,NA,NA,0.0263157894736842,0.0795107033639144,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA
