"","Construction","Politics 1","Housing","Environmental","Architecture","Heating & Plumbing","Passive house","Skills & Apprenticeships","Property Management","Windows & Doors","Politics 2","RICS","Engineering","Urban Planning","Scotland","Flooding","Heritage","Building Control","Management","CITB & Skills","Wales","New Urbanism","CIBSE","Facilities Management","Health & Safety","Livery Companies"
"Construction",0.143254294453637,0.049767300451367,0.084005376344086,0.105142165759226,0.213469113267365,0.0922643029814666,0.169472247497725,0.380479580367179,0.0761523046092184,0.25896700143472,0.146942017474186,0.313697545526524,0.24163096937966,0.0636978579481398,0.123279816513761,0.321010474430068,0.149049683227743,0.228161668839635,0.0301724137931034,0.396,0.114590747330961,NA,0.212988442487617,0.0755244755244755,0.098375054896794,0.0457256461232604
"Politics 1",0.0592845945560781,0.0169269950836509,0.0753110674525213,0.0560390343371081,0.0557976106816585,0.0980237154150198,0.104372355430183,0.234342339552528,0.0463636363636364,NA,0.0180657830142366,0.203947368421053,0.0479081430645374,0.0453062703878217,0.0286401649673502,0.332067830928879,0.0290648694187026,NA,NA,NA,0.0209424083769634,0.0186915887850467,NA,NA,0.0367118914604948,0.0324022346368715
"Housing",0.13739585035125,0.0341388312470714,0.072408040939806,0.0902878442741769,0.085243553008596,0.290744466800805,0.0860215053763441,0.342759211653813,0.106884480746791,NA,0.0897201946472019,0.293181818181818,0.0411214953271028,0.0645792563600783,0.0764158262218774,NA,NA,0.15,NA,NA,0.0463121783876501,NA,NA,NA,0.0477941176470588,NA
"Environmental",0.102564102564103,0.053639441388066,0.148168701442841,0.138633423831928,0.093233883857219,0.152542372881356,0.123542600896861,0.319571865443425,0.0892255892255892,0.176470588235294,0.0937370385732061,0.247826086956522,0.0884995507637017,0.0654205607476635,0.0756605284227382,0.241133063556296,NA,NA,NA,NA,0.0591133004926108,0.088830255057168,0.229752066115702,NA,NA,NA
"Architecture",0.221237084613237,0.0389946884311439,0.0673927842069435,0.0691480280006829,0.190914071059634,0.0760869565217391,0.117288511267085,0.108910891089109,0.081531268264173,NA,NA,0.324808184143222,0.131115459882583,0.0629558541266795,0.0817843866171004,NA,0.110245656081486,NA,NA,NA,0.0978593272171254,0.0741360089186176,0.214876033057851,0.0985915492957746,NA,NA
"Heating & Plumbing",0.0893947100712106,0.0448266140400338,0.172717271727173,0.246695380959453,0.131004366812227,0.129981191442985,0.112244897959184,0.379508625196027,0.174382716049383,0.0811965811965812,NA,NA,0.412213740458015,NA,NA,0.0648148148148148,NA,NA,NA,NA,NA,NA,0.135922330097087,NA,0.190193164933135,NA
"Passive house",0.151798026943885,0.0290228036314247,0.0758959943780745,0.127929165712541,0.167819043856183,0.175438596491228,0.148212171119792,NA,0.141007194244604,0.253424657534247,NA,0.176795580110497,0.172981878088962,0.113253012048193,0.125211505922166,NA,0.169087136929461,NA,NA,NA,NA,0.0526802218114603,0.220708446866485,NA,NA,NA
"Skills & Apprenticeships",0.223712067748765,0.113414425218434,0.216981132075472,0.120675105485232,0.0779220779220779,0.389393939393939,NA,0.267128779453224,NA,NA,0.340924775707384,NA,0.187817258883249,NA,0.226890756302521,NA,NA,NA,NA,NA,0.132231404958678,NA,NA,NA,NA,NA
"Property Management",0.0951949229374433,0.0309756097560976,0.146411483253589,0.0873074101247249,0.100278551532033,0.211576846307385,0.12,NA,0.121227810650888,NA,0.0698365527488856,0.428727352106527,NA,0.0478260869565217,0.166351606805293,NA,NA,NA,NA,NA,0.0309278350515464,NA,NA,0.0413793103448276,NA,NA
"Windows & Doors",0.146849158825207,0.0281316348195329,NA,0.185867895545315,0.262257696693273,0.102013422818792,0.2125,NA,0.053968253968254,0.22309482941052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
