keyName,count,type,group
affordable,42424,keyword,affordable
affordablehousing,1693,keyword,affordable
affordability,1493,keyword,affordable
architecture,133684,keyword,architect
architects,66796,keyword,architect
architect,28879,keyword,architect
architectsjrnal,22079,keyword,architect
architectural,18161,keyword,architect
architecturaljobs,1984,keyword,architect
architectmark,1102,keyword,architect
architectmag,1059,keyword,architect
bed,20339,keyword,bed
bedroom,9832,keyword,bed
beds,1026,keyword,bed
bim,112402,keyword,bim
bimireland,3430,keyword,bim
bimm,3041,keyword,bim
bimsme,2762,keyword,bim
bimstore,2660,keyword,bim
bimcrunch,2251,keyword,bim
bimacademy,2077,keyword,bim
bimopenmic,1848,keyword,bim
bimshowlive,1735,keyword,bim
bimsummit,1734,keyword,bim
bimgcs,1622,keyword,bim
bimplus,1547,keyword,bim
bimprospects,1473,keyword,bim
bimsmeawards,1033,keyword,bim
building,216428,keyword,build
build,88623,keyword,build
buildings,67771,keyword,build
built,40350,keyword,build
builders,12636,keyword,build
builder,2488,keyword,build
carbon,75306,keyword,carbon and climate
climatechange,43454,keyword,carbon and climate
emissions,31399,keyword,carbon and climate
climateaction,9906,keyword,carbon and climate
resilience,7393,keyword,carbon and climate
carbonbrief,5814,keyword,carbon and climate
climategroup,2675,keyword,carbon and climate
climateweek,2050,keyword,carbon and climate
changeclimatechange,1660,keyword,carbon and climate
climatehome,1415,keyword,carbon and climate
citiesresearch,1351,keyword,carbon and climate
resilient,1313,keyword,carbon and climate
citiesclimate,1207,keyword,carbon and climate
carbonbubble,1202,keyword,carbon and climate
climatecentral,1140,keyword,carbon and climate
carbonfix,1061,keyword,carbon and climate
climateclg,1052,keyword,carbon and climate
climatereality,1047,keyword,carbon and climate
emission,1030,keyword,carbon and climate
cibse,13231,keyword,CIBSE
cibsewm,1691,keyword,CIBSE
cibsejournal,1683,keyword,CIBSE
cibseawards,1492,keyword,CIBSE
cihhousing,42637,keyword,CIH
cih,8988,keyword,CIH
cihfutures,6733,keyword,CIH
cihcymru,5608,keyword,CIH
cihevents,4798,keyword,CIH
cihnw,3810,keyword,CIH
cihscotland,3312,keyword,CIH
cihtbc,2401,keyword,CIH
cihse,1782,keyword,CIH
cihsw,1565,keyword,CIH
cihpolicy,1555,keyword,CIH
cihne,1192,keyword,CIH
cihwestmidlands,1153,keyword,CIH
cihscot,1114,keyword,CIH
cihneconf,1019,keyword,CIH
ciheast,1006,keyword,CIH
construction,210575,keyword,construction
standards,21975,keyword,construction
contractors,7173,keyword,construction
contractor,4886,keyword,construction
design,175985,keyword,design
designed,22446,keyword,design
designer,9075,keyword,design
designers,5298,keyword,design
designing,3302,keyword,design
windows,49697,keyword,doors and windows
doors,46619,keyword,doors and windows
door,38162,keyword,doors and windows
window,31899,keyword,doors and windows
glazing,18522,keyword,doors and windows
glazingblogger,9725,keyword,doors and windows
doubleglazing,4207,keyword,doors and windows
glazed,3516,keyword,doors and windows
windownewsuk,2790,keyword,doors and windows
glasstimes,2256,keyword,doors and windows
windowsactive,1948,keyword,doors and windows
glassnewsmag,1915,keyword,doors and windows
windowwidgets,1244,keyword,doors and windows
glazeriteltd,1147,keyword,doors and windows
eco,9218,keyword,eco
ecobuildnow,5626,keyword,eco
ecobuild,5185,keyword,eco
ecologicalbuild,2622,keyword,eco
ecotec,1502,keyword,eco
ecodistricts,1399,keyword,eco
ecofit,1367,keyword,eco
ecofys,1317,keyword,eco
economy,48036,keyword,economy
economic,25295,keyword,economy
economies,1104,keyword,economy
economics,1055,keyword,economy
efficiency,36044,keyword,efficiency
energyefficiency,22122,keyword,efficiency
efficient,13502,keyword,efficiency
energyefficient,1100,keyword,efficiency
electricity,27590,keyword,electric
electric,24690,keyword,electric
electrical,3633,keyword,electric
energy,345545,keyword,energy
energystorage,5762,keyword,energy
energyunion,2575,keyword,energy
energyutilities,2056,keyword,energy
energyeurope,1781,keyword,energy
energyhour,1562,keyword,energy
energyukcomms,1497,keyword,energy
energydesk,1335,keyword,energy
energylivenews,1084,keyword,energy
energyinstitute,1022,keyword,energy
engineering,42361,keyword,engineering
engineers,23492,keyword,engineering
engineer,16942,keyword,engineering
environment,41349,keyword,environment
environmental,18332,keyword,environment
flood,27882,keyword,flood
flooding,9816,keyword,flood
floods,6064,keyword,flood
floodaware,5046,keyword,flood
floodmary,2528,keyword,flood
floodandcoast,2008,keyword,flood
floodre,1156,keyword,flood
floor,10263,keyword,floor
flooring,1833,keyword,floor
fuel,25346,keyword,fuel
fuels,5153,keyword,fuel
gas,86085,keyword,gas
boiler,42952,keyword,gas
gasmangod,28054,keyword,gas
irbheating,20631,keyword,gas
boilers,15317,keyword,gas
gassaferegister,11725,keyword,gas
gassafetyweek,4109,keyword,gas
gassafepete,3924,keyword,gas
gaskellmike,3717,keyword,gas
carbonmonoxide,3261,keyword,gas
gassafe,2973,keyword,gas
gassafeglasgow,2415,keyword,gas
gaschatgroup,2275,keyword,gas
gaschattour,1916,keyword,gas
gasboilersalton,1673,keyword,gas
gassafety,1367,keyword,gas
gasappuk,1204,keyword,gas
greenbuild,3637,keyword,green
greenbuilding,2893,keyword,green
greeninfrastructure,2815,keyword,green
greenhouse,1694,keyword,green
greendeal,1247,keyword,green
heating,55023,keyword,heating
heat,30899,keyword,heating
heatingconsult,3811,keyword,heating
heatingcontrols,2358,keyword,heating
heatingyourhome,1972,keyword,heating
heater,1589,keyword,heating
heaters,1081,keyword,heating
homelessness,35578,keyword,homeless
homeless,24333,keyword,homeless
homelessnessreductionbill,1559,keyword,homeless
housing,410830,keyword,house
home,235953,keyword,house
house,211158,keyword,house
homes,184750,keyword,house
ukhousing,112917,keyword,house
housingday,23420,keyword,house
homesforbritain,22179,keyword,house
houses,16197,keyword,house
ukhousingfast,6380,keyword,house
homesforwales,4828,keyword,house
homeowners,4759,keyword,house
housingitguy,4404,keyword,house
housingcrisis,3866,keyword,house
housemarkltd,3836,keyword,house
housingjobs,3008,keyword,house
housingawards,2549,keyword,house
households,2390,keyword,house
housebuilding,2152,keyword,house
housetorent,2116,keyword,house
housingsubutcher,2006,keyword,house
housingfirst,1756,keyword,house
